CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,CASEWGT,PSUSTRAT,VERSION
7589,16,57,1-16-2017-057-03,3,1,262,453,182,1500,156,92,100,168,4,2,2,4,0,0,1086.81269314683000000000,5,2
7589,16,57,1-16-2017-057-03,3,2,300,511,196,2062,169,93,118,150,6,4,2,1,0,0,1086.81269314683000000000,5,2
7656,16,58,1-16-2017-058-07,7,1,248,388,167,1105,143,82,58,142,4,2,2,1,0,0,1698.43017360501000000000,5,2
7656,16,58,1-16-2017-058-07,7,2,260,425,176,1373,153,87,78,158,4,2,2,1,0,0,1698.43017360501000000000,5,2
7657,16,59,1-16-2017-059-02,2,1,287,487,189,2099,158,90,110,172,6,4,2,4,0,0,36.43112050276990000000,5,2
7657,16,59,1-16-2017-059-02,2,2,285,487,185,1558,159,94,110,168,4,3,2,1,0,0,36.43112050276990000000,5,2
7731,16,60,1-16-2017-060-08,8,1,277,494,185,1528,156,106,112,158,6,3,2,1,0,0,975.90571238197800000000,5,2
7842,16,61,1-16-2017-061-03,3,1,275,459,175,1569,153,92,92,150,4,3,2,1,0,0,758.40852943395400000000,5,2
7842,16,61,1-16-2017-061-03,3,2,272,484,176,1384,151,101,112,158,6,3,2,1,0,0,758.40852943395400000000,5,2
7879,16,63,1-16-2017-063-04,4,1,277,481,182,1441,159,96,108,156,4,3,2,1,0,0,975.91550235041800000000,5,2
7879,16,63,1-16-2017-063-04,4,2,264,441,181,1398,151,89,90,160,4,2,2,1,0,0,975.91550235041800000000,5,2
7879,16,63,1-16-2017-063-04,4,3,999,999,999,9999,999,999,999,999,99,99,9,9,9,0,975.91550235041800000000,5,2
7891,16,64,1-16-2017-064-04,4,1,270,463,184,1639,160,93,100,150,4,3,2,4,0,0,975.91550235041800000000,5,2
7891,16,64,1-16-2017-064-04,4,2,274,481,184,1622,157,101,106,150,6,3,2,1,0,0,975.91550235041800000000,5,2
7941,16,65,1-16-2017-065-02,2,1,286,479,184,1706,158,96,97,154,4,2,2,1,0,0,86.48846061142220000000,5,2
7941,16,65,1-16-2017-065-02,2,2,272,478,188,1701,159,93,113,152,6,4,2,2,0,0,86.48846061142220000000,5,2
8000,16,66,1-16-2017-066-06,6,1,285,480,179,1507,154,102,94,164,6,4,2,1,0,0,554.32085735500400000000,5,2
8000,16,66,1-16-2017-066-06,6,2,271,470,179,1670,153,99,100,160,4,2,2,1,0,0,554.32085735500400000000,5,2
8001,16,67,1-16-2017-067-05,5,1,285,487,179,1551,153,99,103,160,4,2,2,1,0,0,48.70594665109840000000,5,2
8001,16,67,1-16-2017-067-05,5,2,319,515,176,1502,148,85,111,154,6,3,2,2,0,0,48.70594665109840000000,5,2
8067,16,68,1-16-2017-068-06,6,1,249,441,172,1160,147,86,106,138,4,2,2,1,0,0,1059.70250797157000000000,5,2
8067,16,68,1-16-2017-068-06,6,2,272,470,173,1253,999,87,108,140,4,2,2,1,0,0,1059.70250797157000000000,5,2
8116,16,69,1-16-2017-069-08,8,1,270,463,176,1306,153,91,102,164,4,2,2,1,0,0,455.56218219892500000000,5,2
8116,16,69,1-16-2017-069-08,8,2,262,458,182,1780,156,94,104,160,6,3,2,1,0,0,455.56218219892500000000,5,2
8117,16,70,1-16-2017-070-06,6,2,367,591,202,2546,173,100,124,170,6,3,2,2,0,0,1070.17056183628000000000,5,2
8117,16,70,1-16-2017-070-06,6,3,269,457,179,1351,152,94,95,164,4,2,2,1,0,0,1070.17056183628000000000,5,2
8198,16,71,1-16-2017-071-06,6,1,350,589,202,2586,999,77,162,999,8,6,2,2,9,0,2078.07642744592000000000,5,2
8198,16,71,1-16-2017-071-06,6,2,277,481,182,1523,158,96,108,162,6,4,2,1,0,0,2078.07642744592000000000,5,2
8198,16,71,1-16-2017-071-06,6,3,280,482,183,1454,160,94,108,999,4,2,2,2,9,0,2078.07642744592000000000,5,2
8262,16,73,1-16-2017-073-04,4,1,278,487,183,1453,159,97,112,166,4,3,2,1,0,0,1022.75343708077000000000,5,2
8279,16,74,1-16-2017-074-04,4,1,303,510,200,1983,162,96,111,162,6,3,2,4,0,0,1022.75343708077000000000,5,2
8279,16,74,1-16-2017-074-04,4,2,287,516,194,1918,168,103,126,152,6,4,2,4,0,0,1022.75343708077000000000,5,2
8355,16,75,1-16-2017-075-04,4,1,375,604,207,2268,174,102,126,180,6,4,2,2,0,0,3233.52587013727000000000,5,2
8419,16,76,1-16-2017-076-04,4,1,262,453,182,1583,156,92,100,999,4,2,2,4,0,0,1988.35356427731000000000,5,2
8420,16,77,1-16-2017-077-03,3,1,999,999,999,9999,999,999,999,999,99,99,9,9,9,0,591.83275996298000000000,5,2
8420,16,77,1-16-2017-077-03,3,2,278,483,185,1700,160,100,107,168,6,4,2,4,0,0,591.83275996298000000000,5,2
8420,16,77,1-16-2017-077-03,3,3,270,469,188,1711,164,93,106,170,4,2,2,4,0,0,591.83275996298000000000,5,2
8420,16,77,1-16-2017-077-03,3,4,271,473,184,1545,155,97,104,164,4,2,2,1,0,0,591.83275996298000000000,5,2
8479,16,78,1-16-2017-078-10,10,1,270,481,177,1372,150,101,112,150,6,3,2,1,0,0,5620.97976379285000000000,5,2
8479,16,78,1-16-2017-078-10,10,2,399,607,192,1925,165,100,110,179,8,5,2,2,0,0,5620.97976379285000000000,5,2
8480,16,79,1-16-2017-079-04,4,1,260,443,181,1539,157,93,90,172,4,2,2,1,0,0,1202.19615133779000000000,5,2
8480,16,79,1-16-2017-079-04,4,2,265,422,182,1735,153,75,82,160,6,4,2,3,0,0,1202.19615133779000000000,5,2
8550,16,80,1-16-2017-080-10,10,1,270,475,182,1476,155,95,110,154,6,3,2,1,0,0,8274.88500519685000000000,5,2
8551,16,81,1-16-2017-081-03,3,1,368,581,200,2522,170,98,116,999,6,4,2,2,0,0,526.78168572825000000000,5,2
8552,16,82,1-16-2017-082-04,4,1,293,485,193,2230,165,87,106,170,6,3,2,4,0,0,1769.80443338983000000000,5,2
8552,16,82,1-16-2017-082-04,4,2,277,487,184,1614,158,105,104,999,4,2,2,1,0,0,1769.80443338983000000000,5,2
8552,16,82,1-16-2017-082-04,4,3,278,485,182,1467,159,99,109,999,4,3,2,1,0,0,1769.80443338983000000000,5,2
8619,16,83,1-16-2017-083-05,5,1,281,508,185,1572,157,108,121,154,6,3,2,1,0,0,56.92463203596180000000,5,2
8619,16,83,1-16-2017-083-05,5,2,270,453,178,1265,156,87,97,150,4,2,2,1,0,0,56.92463203596180000000,5,2
8619,16,83,1-16-2017-083-05,5,3,295,440,188,1940,157,68,78,999,6,4,9,2,9,0,56.92463203596180000000,5,2
8619,16,83,1-16-2017-083-05,5,4,261,434,174,1290,149,91,84,999,4,2,9,1,0,0,56.92463203596180000000,5,2
8647,16,85,1-16-2017-085-02,2,1,295,513,197,2588,171,100,118,186,8,5,2,3,0,0,24.48450823897450000000,5,2
8647,16,85,1-16-2017-085-02,2,2,308,514,200,2050,166,96,111,160,6,4,2,1,0,0,24.48450823897450000000,5,2
8691,16,86,1-16-2017-086-09,9,1,266,479,178,1360,154,98,116,168,4,2,2,1,0,0,3547.68665158674000000000,5,2
8694,16,87,1-16-2017-087-02,2,1,270,456,178,1272,157,88,98,158,4,2,2,1,0,0,47.92481203941460000000,5,2
8694,16,87,1-16-2017-087-02,2,2,289,525,190,1727,159,109,127,168,6,4,2,1,0,0,47.92481203941460000000,5,2
8789,16,88,1-16-2017-088-06,6,1,279,479,191,1896,161,94,107,180,6,4,2,1,0,0,2287.90777727149000000000,5,2
8789,16,88,1-16-2017-088-06,6,2,275,484,179,1451,153,98,113,999,6,3,2,1,9,0,2287.90777727149000000000,5,2
8860,16,89,1-16-2017-089-04,4,1,303,508,198,9999,172,95,110,999,99,99,9,9,9,0,1935.81901040284000000000,5,2
8860,16,89,1-16-2017-089-04,4,2,270,455,184,1604,158,94,91,174,4,2,2,4,0,0,1935.81901040284000000000,5,2
8861,16,90,1-16-2017-090-09,9,1,247,442,170,1095,146,90,107,146,4,2,2,1,0,0,3126.49455209188000000000,5,2
8951,16,91,1-16-2017-091-02,2,1,265,453,183,1340,153,89,99,150,4,2,2,1,0,0,28.38718458042420000000,5,2
8953,16,93,1-16-2017-093-03,3,1,281,463,181,1719,156,78,104,168,4,2,2,4,0,0,387.27514087760900000000,5,2
8953,16,93,1-16-2017-093-03,3,2,370,574,203,2450,173,90,113,184,8,6,2,3,0,0,387.27514087760900000000,5,2
8966,16,94,1-16-2017-094-06,6,1,280,494,185,1621,157,100,114,150,6,4,2,1,0,0,751.12185592969200000000,5,2
8966,16,94,1-16-2017-094-06,6,2,268,461,180,1407,154,97,96,999,4,1,9,1,9,0,751.12185592969200000000,5,2
9019,16,95,1-16-2017-095-06,6,1,281,509,185,1630,158,110,120,139,6,4,2,1,0,0,910.10497547752300000000,5,2
9115,16,97,1-16-2017-097-03,3,1,285,497,185,1660,160,97,116,999,6,3,2,1,0,0,162.41734696448600000000,5,2
9115,16,97,1-16-2017-097-03,3,2,280,473,192,1660,162,93,93,999,6,3,2,1,0,0,162.41734696448600000000,5,2
6045,17,1,1-17-2017-001-10,10,1,250,444,170,1122,142,89,105,134,4,2,2,1,0,0,200.16680886181900000000,4,2
6117,17,2,1-17-2017-002-09,9,1,281,499,185,1582,156,109,110,150,6,4,2,1,0,0,1415.10629264720000000000,4,2
6118,17,3,1-17-2017-003-08,8,1,312,520,173,1425,139,90,118,154,6,4,2,2,0,0,186.33080319887600000000,4,2
6182,17,4,1-17-2017-004-09,9,1,285,508,187,1618,158,108,116,156,6,4,2,1,0,1,384.01366230303100000000,4,2
6182,17,4,1-17-2017-004-09,9,2,262,440,175,1452,153,84,94,154,4,2,2,4,0,0,384.01366230303100000000,4,2
6183,17,5,1-17-2017-005-04,4,1,278,485,182,1467,159,99,109,156,4,2,2,1,0,0,214.93968731874500000000,4,2
6184,17,6,1-17-2017-006-04,4,1,284,511,185,1754,159,101,126,146,6,3,2,1,0,0,214.93968732486500000000,4,2
6244,17,7,1-17-2017-007-06,6,1,285,485,179,1601,153,97,102,160,6,3,2,1,0,0,260.45254408597600000000,4,2
6244,17,7,1-17-2017-007-06,6,2,285,487,179,1549,153,99,103,142,4,2,2,1,0,0,260.45254408597600000000,4,2
6245,17,8,1-17-2017-008-03,3,1,276,502,185,1515,158,106,121,158,6,3,2,1,0,0,134.28819158768900000000,4,2
6245,17,8,1-17-2017-008-03,3,2,270,455,178,1275,157,87,99,150,4,2,2,1,0,0,134.28819158768900000000,4,2
6246,17,9,1-17-2017-009-03,3,1,281,504,182,1577,157,112,112,999,6,4,9,1,9,0,134.28819158874300000000,4,2
6246,17,9,1-17-2017-009-03,3,2,330,565,201,2579,153,100,135,176,8,5,2,2,0,0,134.28819158874300000000,4,2
6247,17,10,1-17-2017-010-07,7,1,278,484,180,1437,154,97,109,148,6,3,2,1,0,0,530.29557908337700000000,4,2
6247,17,10,1-17-2017-010-07,7,2,287,487,189,2084,158,90,110,999,8,6,2,3,9,0,530.29557908337700000000,4,2
6317,17,11,1-17-2017-011-07,7,1,281,509,185,1613,158,110,120,142,6,3,2,1,0,0,1987.12586336849000000000,4,2
6317,17,11,1-17-2017-011-07,7,2,262,444,181,1609,155,86,95,158,6,3,2,3,0,0,1987.12586336849000000000,4,2
6353,17,12,1-17-2017-012-07,7,1,308,514,195,2096,165,95,111,164,6,4,2,1,0,0,1124.00172722639000000000,4,2
6403,17,13,1-17-2017-013-03,3,1,365,573,203,2378,174,100,108,164,8,5,2,3,0,0,612.63153371033600000000,4,2
6441,17,14,1-17-2017-014-04,4,1,261,452,173,1590,149,90,101,999,6,3,9,9,9,0,2564.73694398389000000000,4,2
6441,17,14,1-17-2017-014-04,4,2,284,488,186,1554,160,94,110,160,4,2,2,1,0,0,2564.73694398389000000000,4,2
6492,17,15,1-17-2017-015-04,4,1,287,516,194,1822,168,103,126,170,6,4,2,4,0,0,2396.01535024564000000000,4,2
6492,17,15,1-17-2017-015-04,4,2,274,487,185,1539,158,99,114,162,4,3,2,1,0,0,2396.01535024564000000000,4,2
6492,17,15,1-17-2017-015-04,4,3,277,481,182,1441,159,96,108,152,4,3,2,1,0,0,2396.01535024564000000000,4,2
6492,17,15,1-17-2017-015-04,4,4,276,502,185,1500,158,106,121,999,6,3,9,9,9,0,2396.01535024564000000000,4,2
6541,17,16,1-17-2017-016-05,5,1,310,525,195,2043,170,96,120,178,6,4,2,3,0,0,108.17988682411800000000,4,2
6541,17,16,1-17-2017-016-05,5,2,305,510,183,1761,159,94,113,152,6,3,2,1,0,0,108.17988682411800000000,4,2
6588,17,17,1-17-2017-017-03,3,1,265,436,183,1327,154,90,82,144,4,2,2,1,0,0,385.21860264709200000000,4,2
6588,17,17,1-17-2017-017-03,3,2,281,504,182,1577,157,112,112,156,6,4,2,1,0,0,385.21860264709200000000,4,2
6635,17,18,1-17-2017-018-01,1,1,262,444,170,1196,147,89,95,152,4,2,2,1,0,0,269.66330320321100000000,4,2
6673,17,19,1-17-2017-019-03,3,1,281,508,185,1552,157,108,121,152,6,3,2,1,0,0,854.41696807267400000000,4,2
6673,17,19,1-17-2017-019-03,3,2,269,454,184,1635,157,93,92,142,4,2,2,1,0,0,854.41696807267400000000,4,2
6715,17,20,1-17-2017-020-09,9,1,259,437,178,1227,152,93,84,154,4,2,2,1,0,0,2912.32257635234000000000,4,2
6749,17,21,1-17-2017-021-07,7,1,274,481,192,1642,158,102,107,144,6,3,2,1,0,0,1152.79836779502000000000,4,2
6789,17,22,1-17-2017-022-05,5,1,262,458,173,1295,149,96,100,152,4,2,2,1,0,0,139.77152375891400000000,4,2
6812,17,23,1-17-2017-023-09,9,1,287,487,189,2052,158,90,110,164,6,4,2,3,0,0,1691.99672341111000000000,4,2
6870,17,24,1-17-2017-024-04,4,1,268,461,180,1407,154,97,96,160,4,1,2,1,0,0,4191.22488111450000000000,4,2
6870,17,24,1-17-2017-024-04,4,2,272,484,176,1384,151,101,112,160,6,3,2,1,0,0,4191.22488111450000000000,4,2
6905,17,25,1-17-2017-025-06,6,1,302,521,199,2234,170,102,116,172,6,4,2,4,0,0,637.72365789726100000000,4,2
6905,17,25,1-17-2017-025-06,6,2,281,509,185,1630,158,110,120,144,6,4,2,1,0,0,637.72365789726100000000,4,2
6954,17,26,1-17-2017-026-02,2,1,270,457,185,1724,156,91,96,152,4,2,2,1,0,0,245.24541505623200000000,4,2
6954,17,26,1-17-2017-026-02,2,2,249,440,172,1215,146,85,106,138,4,2,2,1,0,0,245.24541505623200000000,4,2
7004,17,28,1-17-2017-028-08,8,1,272,473,179,1413,150,101,102,148,4,2,2,1,0,0,293.24993408568300000000,4,2
7004,17,28,1-17-2017-028-08,8,2,260,453,170,1135,146,94,100,148,4,2,2,1,0,0,293.24993408568300000000,4,2
7018,17,29,1-17-2017-029-03,3,1,268,461,180,1407,154,97,96,162,4,1,2,1,0,0,556.30488602118700000000,4,2
7065,17,30,1-17-2017-030-07,7,1,248,431,171,1170,144,85,100,142,4,2,2,1,0,0,1778.88196036324000000000,4,2
7065,17,30,1-17-2017-030-07,7,2,265,444,174,1178,151,87,92,150,4,2,2,1,0,0,1778.88196036324000000000,4,2
7066,17,31,1-17-2017-031-02,2,1,274,487,185,1620,158,99,114,144,4,3,2,1,0,0,67.58279126353610000000,4,2
7066,17,31,1-17-2017-031-02,2,2,289,489,183,1834,158,100,100,158,6,4,2,1,0,0,67.58279126353610000000,4,2
7121,17,33,1-17-2017-033-07,7,1,262,452,182,1597,156,89,100,156,4,2,2,3,0,0,2501.79702288383000000000,4,2
7169,17,34,1-17-2017-034-09,9,1,281,509,185,1630,158,110,120,150,6,4,2,1,0,0,1404.60743210442000000000,4,2
7170,17,35,1-17-2017-035-07,7,1,263,448,176,1431,150,93,93,140,6,4,2,1,0,0,884.59665778365500000000,4,2
7170,17,35,1-17-2017-035-07,7,2,271,468,183,1471,158,98,99,142,6,4,2,1,0,0,884.59665778365500000000,4,2
7217,17,36,1-17-2017-036-05,5,1,269,449,184,1872,154,75,106,152,6,4,2,3,0,0,139.81631156217800000000,4,2
7217,17,36,1-17-2017-036-05,5,2,266,478,176,1232,999,103,108,999,4,3,9,9,9,0,139.81631156217800000000,4,2
7257,17,37,1-17-2017-037-07,7,1,302,511,200,2234,171,98,111,177,6,4,9,9,0,0,394.88797396164200000000,4,2
7257,17,37,1-17-2017-037-07,7,2,355,565,200,2521,172,92,116,172,8,6,2,3,0,0,394.88797396164200000000,4,2
7258,17,38,1-17-2017-038-04,4,1,270,464,178,1265,152,97,98,144,4,2,2,1,0,0,350.95667965408700000000,4,2
7258,17,38,1-17-2017-038-04,4,2,260,454,176,1279,151,94,100,999,4,2,9,1,0,0,350.95667965408700000000,4,2
7258,17,38,1-17-2017-038-04,4,3,286,479,181,1660,157,96,97,999,6,3,9,1,0,0,350.95667965408700000000,4,2
7307,17,39,1-17-2017-039-09,9,1,320,512,178,1621,147,85,108,999,6,4,9,9,9,0,746.52365176238700000000,4,2
7307,17,39,1-17-2017-039-09,9,2,248,406,171,1355,146,77,81,145,4,2,2,3,0,0,746.52365176238700000000,4,2
7308,17,40,1-17-2017-040-07,7,1,278,482,180,1500,154,96,110,162,6,4,2,1,0,0,470.14725410652400000000,4,2
7308,17,40,1-17-2017-040-07,7,2,330,565,201,2543,173,100,135,999,8,5,9,2,9,0,470.14725410652400000000,4,2
7369,17,41,1-17-2017-041-06,6,1,281,509,185,1630,158,110,120,150,6,4,2,1,0,0,158.75803500849500000000,4,2
7371,17,43,1-17-2017-043-07,7,1,257,436,172,1179,151,81,98,140,4,2,2,1,0,0,323.24001443068500000000,4,2
7390,17,44,1-17-2017-044-03,3,1,356,574,201,2404,174,102,116,160,8,6,2,3,0,0,81.85494787958960000000,4,2
7390,17,44,1-17-2017-044-03,3,2,277,489,185,1539,159,102,108,166,4,2,2,1,0,0,81.85494787958960000000,4,2
7436,17,45,1-17-2017-045-03,3,1,275,483,173,1398,139,90,118,999,6,4,9,2,9,0,159.02456619967100000000,4,2
7436,17,45,1-17-2017-045-03,3,2,286,501,200,2067,170,96,117,180,4,2,2,1,0,0,159.02456619967100000000,4,2
7437,17,46,1-17-2017-046-07,7,1,277,485,182,1542,157,102,106,154,6,4,2,1,0,0,627.97795862496700000000,4,2
7539,17,47,1-17-2017-047-03,3,1,277,481,182,1441,159,96,108,150,4,3,2,1,0,0,134.78804348316800000000,4,2
7539,17,47,1-17-2017-047-03,3,2,257,414,180,1287,158,83,73,150,4,2,2,1,0,0,134.78804348316800000000,4,2
7540,17,48,1-17-2017-048-07,7,1,255,430,169,1050,147,82,93,135,4,2,2,1,0,0,532.26946261456200000000,4,2
7540,17,48,1-17-2017-048-07,7,2,285,487,179,1569,152,99,103,140,4,2,2,1,0,0,532.26946261456200000000,4,2
7558,17,49,1-17-2017-049-03,3,1,269,454,184,1635,157,93,92,144,4,3,2,1,0,0,134.78804348316800000000,4,2
7558,17,49,1-17-2017-049-03,3,2,310,525,195,2043,170,96,120,158,6,4,2,3,0,0,134.78804348316800000000,4,2
7593,17,50,1-17-2017-050-07,7,1,279,479,190,2326,158,87,113,999,8,6,2,3,0,0,900.22638266429200000000,4,2
7592,17,51,1-17-2017-051-04,4,1,267,456,175,1230,151,93,96,148,4,2,2,1,0,0,800.07618116919000000000,4,2
7592,17,51,1-17-2017-051-04,4,2,220,378,171,1235,146,77,81,140,4,2,2,3,0,0,800.07618116919000000000,4,2
7661,17,52,1-17-2017-052-04,4,1,287,516,194,1822,168,103,126,144,6,4,2,1,0,0,491.51542979830200000000,4,2
7661,17,52,1-17-2017-052-04,4,2,284,511,185,1717,159,101,126,999,6,4,9,1,0,0,491.51542979830200000000,4,2
7662,17,53,1-17-2017-053-04,4,1,287,494,188,1940,161,90,117,150,8,5,2,4,0,0,491.51542979503400000000,4,2
7662,17,53,1-17-2017-053-04,4,2,269,454,184,1635,156,93,92,147,4,2,2,1,0,0,491.51542979503400000000,4,2
7662,17,53,1-17-2017-053-04,4,3,280,484,183,1454,159,97,108,146,4,2,2,1,0,0,491.51542979503400000000,4,2
7663,17,54,1-17-2017-054-10,10,1,330,557,200,2323,167,96,133,168,8,5,2,3,0,0,2298.12604323796000000000,4,2
7663,17,54,1-17-2017-054-10,10,2,285,480,179,1533,154,102,94,144,6,4,2,1,0,0,2298.12604323796000000000,4,2
7716,17,55,1-17-2017-055-05,5,1,285,487,179,1569,153,99,103,144,6,4,2,1,0,0,105.50251995997300000000,4,2
7772,17,56,1-17-2017-056-03,3,1,268,461,180,1407,154,97,96,156,4,1,2,1,0,0,227.76959912268800000000,4,2
7772,17,56,1-17-2017-056-03,3,2,269,454,168,1611,157,93,92,152,4,2,2,1,0,0,227.76959912268800000000,4,2
7772,17,56,1-17-2017-056-03,3,3,368,581,200,2454,170,98,116,999,6,4,9,3,9,0,227.76959912268800000000,4,2
7773,17,57,1-17-2017-057-08,8,1,305,508,189,1733,159,92,112,151,8,6,2,2,0,0,188.05340454226200000000,4,2
7774,17,58,1-17-2017-058-07,7,1,308,514,195,2096,165,95,111,160,6,4,2,1,0,0,899.44774767879900000000,4,2
7774,17,58,1-17-2017-058-07,7,2,295,518,204,2515,173,103,120,999,8,5,9,9,9,0,899.44774767879900000000,4,2
7835,17,60,1-17-2017-060-06,6,1,264,441,176,1410,151,88,89,164,4,2,2,3,0,0,368.15814485261600000000,4,2
7835,17,60,1-17-2017-060-06,6,2,280,493,185,1523,157,100,114,146,4,2,2,1,0,0,368.15814485261600000000,4,2
7866,17,61,1-17-2017-061-04,4,1,257,428,177,1339,152,91,80,141,4,2,2,4,0,0,666.19814692973400000000,4,2
7866,17,61,1-17-2017-061-04,4,2,281,508,185,1572,156,108,121,146,6,3,2,1,0,0,666.19814692973400000000,4,2
7892,17,62,1-17-2017-062-06,6,1,280,493,185,1523,157,100,114,146,6,4,2,1,0,0,254.33523737377100000000,4,2
7893,17,63,1-17-2017-063-07,7,1,368,581,200,2454,170,98,116,180,8,5,2,3,0,0,517.84040911397300000000,4,2
7893,17,63,1-17-2017-063-07,7,2,269,478,196,2007,169,100,110,156,6,4,2,3,0,0,517.84040911397300000000,4,2
7893,17,63,1-17-2017-063-07,7,3,365,573,203,2378,174,100,108,162,8,5,2,3,0,0,517.84040911397300000000,4,2
7894,17,64,1-17-2017-064-07,7,1,264,457,176,1375,153,96,98,140,4,2,2,1,0,0,517.84040911397300000000,4,2
7894,17,64,1-17-2017-064-07,7,2,277,463,189,1928,160,91,93,999,6,3,9,9,0,0,517.84040911397300000000,4,2
7946,17,65,1-17-2017-065-02,2,1,279,480,188,2000,157,91,108,150,8,5,2,2,0,0,70.25774128885290000000,4,2
7946,17,65,1-17-2017-065-02,2,2,280,484,183,1468,159,97,108,146,4,2,2,1,0,0,70.25774128885290000000,4,2
7947,17,66,1-17-2017-066-04,4,1,285,487,179,1551,153,99,103,144,4,2,2,1,0,0,1695.72707745063000000000,4,2
7947,17,66,1-17-2017-066-04,4,2,278,486,185,1615,158,96,112,148,6,4,2,1,0,0,1695.72707745063000000000,4,2
8003,17,67,1-17-2017-067-04,4,1,285,478,193,1841,165,97,98,156,6,4,2,4,0,0,1439.31692420907000000000,4,2
8004,17,68,1-17-2017-068-02,2,1,274,487,185,1650,157,99,114,148,4,2,2,1,0,0,100.14669405249400000000,4,2
8005,17,69,1-17-2017-069-08,8,1,285,508,187,1618,159,108,116,156,6,4,2,1,0,0,338.59620717804800000000,4,2
8072,17,70,1-17-2017-070-05,5,1,262,444,181,1540,155,86,95,144,6,3,2,1,0,0,156.47957675514800000000,4,2
8072,17,70,1-17-2017-070-05,5,2,270,463,184,1610,160,93,100,147,4,3,2,4,0,0,156.47957675514800000000,4,2
8119,17,71,1-17-2017-071-06,6,1,282,476,193,2008,166,98,96,164,6,4,2,4,0,0,304.94974891827000000000,4,2
8119,17,71,1-17-2017-071-06,6,2,266,479,178,1475,154,98,116,154,6,3,2,1,0,0,304.94974891827000000000,4,2
8120,17,72,1-17-2017-072-03,3,1,270,446,173,1255,147,89,87,138,4,2,2,1,0,0,157.23075561188600000000,4,2
8120,17,72,1-17-2017-072-03,3,2,277,481,182,1441,158,96,108,145,4,3,2,1,0,0,157.23075561188600000000,4,2
8120,17,72,1-17-2017-072-03,3,3,242,388,187,1759,159,68,78,149,6,4,9,3,0,0,157.23075561188600000000,4,2
8121,17,73,1-17-2017-073-02,2,1,270,449,175,1199,150,87,93,148,4,2,2,1,0,0,67.58279126353610000000,4,2
8121,17,73,1-17-2017-073-02,2,2,295,440,188,1969,157,68,78,148,6,4,2,3,0,0,67.58279126353610000000,4,2
8208,17,74,1-17-2017-074-09,9,1,365,571,202,2151,166,101,105,161,8,5,2,3,0,0,1277.91476599499000000000,4,2
8209,17,75,1-17-2017-075-07,7,1,308,512,195,1939,161,100,104,150,6,4,2,9,0,0,804.80788089746900000000,4,2
8209,17,75,1-17-2017-075-07,7,2,262,458,173,1261,149,96,100,134,4,2,2,1,0,0,804.80788089746900000000,4,2
8209,17,75,1-17-2017-075-07,7,3,278,481,182,1500,158,96,107,144,4,2,2,1,0,0,804.80788089746900000000,4,2
8267,17,76,1-17-2017-076-08,8,1,272,473,179,1383,150,101,102,140,6,3,2,1,0,0,421.79301649750600000000,4,2
8268,17,77,1-17-2017-077-05,5,1,284,500,186,1822,157,102,114,148,6,4,2,1,0,0,87.06136847460150000000,4,2
8268,17,77,1-17-2017-077-05,5,2,269,457,179,1296,152,94,95,150,4,2,2,1,0,0,87.06136847460150000000,4,2
8269,17,78,1-17-2017-078-02,2,1,281,499,185,1531,156,109,110,148,6,3,9,9,0,0,67.58279126353610000000,4,2
8269,17,78,1-17-2017-078-02,2,2,270,463,184,1610,160,93,100,154,4,3,2,4,0,0,67.58279126353610000000,4,2
8358,17,79,1-17-2017-079-07,7,1,270,449,175,1304,150,87,93,156,4,1,2,1,0,0,905.49764286430300000000,4,2
8359,17,80,1-17-2017-080-04,4,1,275,480,182,1621,155,97,109,154,4,3,2,4,0,0,804.76101358795200000000,4,2
8359,17,80,1-17-2017-080-04,4,2,279,482,193,2180,160,91,112,164,6,4,2,3,0,0,804.76101358795200000000,4,2
8426,17,81,1-17-2017-081-07,7,1,287,516,194,1822,168,103,126,148,6,4,2,1,0,0,714.05096634316100000000,4,2
8427,17,82,1-17-2017-082-04,4,1,304,508,193,2262,162,86,118,154,6,4,2,4,0,0,634.61278331036300000000,4,2
8427,17,82,1-17-2017-082-04,4,2,295,499,184,1750,157,92,112,147,6,4,2,2,0,0,634.61278331036300000000,4,2
8428,17,83,1-17-2017-083-06,6,1,262,458,173,1261,149,96,100,138,4,2,2,1,0,0,350.70326460731600000000,4,2
8504,17,84,1-17-2017-084-04,4,1,328,528,190,2194,158,90,110,152,6,4,1,3,0,0,1633.46366478719000000000,4,2
8504,17,84,1-17-2017-084-04,4,2,356,574,201,2407,174,102,116,184,8,6,2,3,0,0,1633.46366478719000000000,4,2
8505,17,85,1-17-2017-085-05,5,1,273,480,183,1476,155,98,110,148,4,2,2,1,0,0,79.31607956052850000000,4,2
8573,17,86,1-17-2017-086-01,1,1,280,493,185,1523,157,100,114,148,4,2,2,1,0,0,222.27511247089600000000,4,2
8624,17,87,1-17-2017-087-10,10,1,303,508,198,1940,172,95,110,164,6,4,2,1,0,0,2732.05526558107000000000,4,2
8625,17,88,1-17-2017-088-04,4,1,265,463,178,1307,154,89,109,142,4,2,2,1,0,0,584.32274506312600000000,4,2
