CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,CASEWGT,PSUSTRAT,VERSION
7252,10,29,1-10-2017-029-05,5,1,281,504,182,1577,156,112,112,154,6,4,2,1,0,0,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,270,468,189,1724,162,95,104,175,6,3,2,1,0,0,50.22440395887630000000,4,2
7295,10,30,1-10-2017-030-06,6,1,274,481,182,1389,156,98,109,166,4,2,2,1,0,0,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,313,525,200,2652,172,88,124,165,8,6,2,4,0,0,310.41777074870400000000,4,2
7345,10,31,1-10-2017-031-04,4,1,274,487,185,1620,157,99,114,160,4,3,2,1,0,0,1650.22234645847000000000,4,2
7414,10,32,1-10-2017-032-05,5,1,285,485,179,1654,152,97,102,999,6,4,9,9,9,0,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,253,440,174,1237,151,89,98,144,4,2,1,1,0,0,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,3,305,500,188,1708,159,85,110,999,6,4,2,2,0,0,62.63225049926320000000,4,2
7514,10,33,1-10-2017-033-10,10,1,266,479,178,1360,153,98,116,152,4,2,2,1,0,0,2415.69467836758000000000,4,2
7514,10,33,1-10-2017-033-10,10,2,305,505,191,1937,162,92,108,999,8,6,2,2,9,0,2415.69467836758000000000,4,2
7587,10,34,1-10-2017-034-07,7,1,277,489,185,1539,158,102,108,160,4,2,2,1,0,0,424.43280550159400000000,4,2
7652,10,35,1-10-2017-035-05,5,1,248,392,168,1160,144,84,60,145,4,2,2,1,0,0,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,2,281,509,185,1613,157,110,120,146,6,4,2,1,0,0,46.58601633291680000000,4,2
7703,10,36,1-10-2017-036-08,8,1,247,444,169,1384,147,92,105,140,4,2,2,1,0,0,120.86531935691100000000,4,2
7703,10,36,1-10-2017-036-08,8,2,281,486,187,1475,161,97,108,999,4,2,2,1,9,0,120.86531935691100000000,4,2
7703,10,36,1-10-2017-036-08,8,3,357,570,203,2333,172,102,111,182,8,5,2,3,0,0,120.86531935691100000000,4,2
7759,10,37,1-10-2017-037-05,5,1,281,508,185,1552,157,108,121,160,6,4,2,1,0,0,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,2,287,487,189,2052,158,90,110,160,6,4,2,2,0,0,41.58524342044350000000,4,2
7826,10,38,1-10-2017-038-07,7,1,271,473,184,1445,155,97,104,154,4,2,2,1,0,0,319.93066647553500000000,4,2
7826,10,38,1-10-2017-038-07,7,2,270,466,176,1303,149,94,105,150,4,2,2,1,0,0,319.93066647553500000000,4,2
7888,10,39,1-10-2017-039-02,2,1,285,487,179,1551,152,99,103,156,4,2,2,1,0,0,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,257,405,172,1163,152,81,67,140,4,2,2,1,0,0,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,3,277,487,184,1544,158,105,104,999,6,4,2,1,0,0,46.34288220449190000000,4,2
7931,10,40,1-10-2017-040-06,6,1,270,449,175,1199,149,87,93,150,4,2,2,1,0,0,1655.85275190167000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,286,479,181,1660,156,96,97,164,6,3,2,1,0,0,2538.15212103402000000000,4,2
8068,10,42,1-10-2017-042-04,4,1,305,500,188,1706,159,85,110,160,6,4,2,2,0,0,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,295,518,204,2408,173,103,120,175,8,5,2,2,0,0,340.54286884701600000000,4,2
8181,10,44,1-10-2017-044-09,9,1,281,509,185,1630,158,110,120,999,6,4,2,1,9,0,280.29553550113300000000,4,2
8181,10,44,1-10-2017-044-09,9,2,290,538,199,1900,162,108,139,166,8,5,2,2,0,0,280.29553550113300000000,4,2
8204,10,45,1-10-2017-045-03,3,1,270,464,178,1290,152,97,98,146,4,2,2,1,0,0,152.96440682076200000000,4,2
8204,10,45,1-10-2017-045-03,3,2,999,999,999,9999,999,999,999,999,8,5,9,2,9,0,152.96440682076200000000,4,2
8245,10,46,1-10-2017-046-03,3,1,286,479,184,1706,158,96,97,999,4,2,2,1,9,0,125.04034512614800000000,4,2
8245,10,46,1-10-2017-046-03,3,2,334,558,195,2239,161,92,134,999,8,6,2,2,9,0,125.04034512614800000000,4,2
8394,10,48,1-10-2017-048-03,3,1,285,485,179,1601,152,97,102,999,4,2,9,1,9,0,110.88588488173800000000,4,2
8394,10,48,1-10-2017-048-03,3,2,292,482,194,2121,162,88,102,999,6,4,2,3,9,0,110.88588488173800000000,4,2
8413,10,49,1-10-2017-049-03,3,1,287,516,194,1918,168,103,126,160,6,4,2,4,0,0,157.20339285080300000000,4,2
8477,10,50,1-10-2017-050-09,9,1,281,508,185,1540,154,108,121,160,6,3,2,1,0,0,203.90545677916600000000,4,2
8478,10,51,1-10-2017-051-04,4,1,305,508,191,1934,161,92,110,999,8,6,2,4,0,0,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,285,487,185,1558,159,94,110,156,4,3,2,1,0,0,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,3,275,468,187,1683,161,98,95,999,4,2,2,1,0,0,116.73917317886100000000,4,2
8542,10,52,1-10-2017-052-06,6,1,285,480,179,1507,153,102,94,156,4,2,2,1,0,0,186.43497383052800000000,4,2
8542,10,52,1-10-2017-052-06,6,2,274,481,182,1389,156,98,109,999,4,2,9,1,9,0,186.43497383052800000000,4,2
8542,10,52,1-10-2017-052-06,6,3,274,477,189,1970,162,99,102,999,6,4,9,4,9,0,186.43497383052800000000,4,2
8543,10,53,1-10-2017-053-05,5,1,303,510,200,1969,162,96,111,999,6,4,2,1,9,0,23.44671876714130000000,4,2
8543,10,53,1-10-2017-053-05,5,2,278,462,178,1485,154,93,91,999,4,2,2,1,9,0,23.44671876714130000000,4,2
8591,10,55,1-10-2017-055-03,3,1,264,460,180,1538,155,96,100,999,4,3,9,4,9,0,96.12505643122980000000,4,2
8591,10,55,1-10-2017-055-03,3,2,276,445,180,1690,152,79,90,999,4,2,2,4,0,0,96.12505643122980000000,4,2
8601,10,57,1-10-2017-057-07,7,1,999,999,999,9999,999,999,999,999,99,99,9,9,9,0,65.90361323404470000000,4,2
8601,10,57,1-10-2017-057-07,7,2,286,479,184,1798,158,96,97,999,4,2,2,4,9,0,65.90361323404470000000,4,2
8609,10,58,1-10-2017-058-09,9,1,302,520,200,2222,166,98,119,180,8,5,2,2,0,0,104.64509913880700000000,4,2
8609,10,58,1-10-2017-058-09,9,2,303,510,193,2322,163,100,110,999,8,5,9,3,9,0,104.64509913880700000000,4,2
8776,10,61,1-10-2017-061-04,4,1,284,488,186,1554,160,94,110,999,4,3,2,1,0,0,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,2,285,487,179,1655,152,99,103,167,4,2,2,1,0,0,36.09665610412430000000,4,2
8777,10,62,1-10-2017-062-07,7,1,277,481,182,1441,158,96,108,999,4,3,2,1,9,0,39.70722521913540000000,4,2
8777,10,62,1-10-2017-062-07,7,2,319,523,185,1970,157,80,124,999,6,4,2,2,9,0,39.70722521913540000000,4,2
8786,10,63,1-10-2017-063-02,2,1,272,480,179,1370,155,100,110,170,4,2,2,1,0,0,22.46197362103460000000,4,2
8786,10,63,1-10-2017-063-02,2,2,270,468,189,1730,161,94,104,999,4,2,2,4,0,0,22.46197362103460000000,4,2
8787,10,64,1-10-2017-064-04,4,1,278,485,182,1467,158,99,109,169,4,3,2,1,0,0,237.71564662407100000000,4,2
8787,10,64,1-10-2017-064-04,4,2,264,454,184,1588,156,114,93,999,4,2,2,1,9,0,237.71564662407100000000,4,2
8787,10,64,1-10-2017-064-04,4,3,289,489,183,1772,157,100,100,999,6,4,2,1,0,0,237.71564662407100000000,4,2
8788,10,65,1-10-2017-065-03,3,1,264,460,180,1498,155,96,100,160,4,3,2,4,0,0,69.62864153073320000000,4,2
8788,10,65,1-10-2017-065-03,3,2,288,480,200,1752,162,96,97,999,6,3,2,1,0,0,69.62864153073320000000,4,2
