CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,INTEGRITY,CASEWGT,PSUSTRAT,VERSION
6424,11,4,1-11-2017-004-03,3,1,0,2276.00000000000000000000,8,2
6424,11,4,1-11-2017-004-03,3,2,0,2276.00000000000000000000,8,2
6491,11,6,1-11-2017-006-03,3,2,6,3733.00000000000000000000,8,2
6534,11,8,1-11-2017-008-03,3,1,0,672.00000000000000000000,8,2
6619,11,11,1-11-2017-011-08,8,2,7,613.00000000000000000000,8,2
6620,11,12,1-11-2017-012-08,8,1,6,613.00000000000000000000,8,2
6666,11,13,1-11-2017-013-05,5,1,0,533.50000000000000000000,8,2
6667,11,14,1-11-2017-014-05,5,1,0,533.50000000000000000000,8,2
6667,11,14,1-11-2017-014-05,5,2,0,533.50000000000000000000,8,2
6705,11,15,1-11-2017-015-05,5,1,0,459.56250000000000000000,8,2
6705,11,15,1-11-2017-015-05,5,4,7,459.56250000000000000000,8,2
6706,11,16,1-11-2017-016-05,5,2,0,459.56250000000000000000,8,2
6746,11,17,1-11-2017-017-01,1,1,9,473.87500000000000000000,8,2
6809,11,18,1-11-2017-018-02,2,1,0,327.68750000000000000000,8,2
6809,11,18,1-11-2017-018-02,2,2,0,327.68750000000000000000,8,2
6844,11,19,1-11-2017-019-08,8,1,9,1502.25000000000000000000,8,2
6943,11,20,1-11-2017-020-01,1,1,9,142.96875000000000000000,8,2
6995,11,21,1-11-2017-021-09,9,1,6,13616.00000000000000000000,8,2
7034,11,22,1-11-2017-022-06,6,3,0,6809.00000000000000000000,8,2
7042,11,23,1-11-2017-023-05,5,1,9,397.06250000000000000000,8,2
7095,11,24,1-11-2017-024-01,1,1,9,235.59375000000000000000,8,2
7096,11,25,1-11-2017-025-05,5,1,2,213.62500000000000000000,8,2
7096,11,25,1-11-2017-025-05,5,1,6,213.62500000000000000000,8,2
7096,11,25,1-11-2017-025-05,5,2,0,213.62500000000000000000,8,2
7154,11,26,1-11-2017-026-05,5,2,6,562.37500000000000000000,8,2
7237,11,27,1-11-2017-027-03,3,1,0,2010.75000000000000000000,8,2
7237,11,27,1-11-2017-027-03,3,2,9,2010.75000000000000000000,8,2
