CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,POSTINTEGLOSS,OPENLF,OPENLR,OPENRF,OPENRR,OPENTG,DAMAGELF,DAMAGELR,DAMAGERF,DAMAGERR,DAMAGETG,GLAZINGCONT,ROWIDTH1,ROWIDTH2,ROWIDTH3,ROWIDTH4,ROWIDTH5,ADAPTEQUIP,STEERINGTYPE,STEERTILTADJ,STEERTELEADJ,RIMDEFLOC,RIMDEF,CASEWGT,PSUSTRAT,VERSION
7826,10,38,1-10-2017-038-07,7,1,0,1,1,1,1,0,1,1,1,1,0,0,140,138,888,888,888,0,2,2,0,0,88,319.93066647553500000000,4,2
7888,10,39,1-10-2017-039-02,2,1,0,2,2,1,1,0,1,1,1,1,0,0,144,143,999,999,999,0,4,3,3,0,88,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,0,2,1,1,1,1,1,1,1,1,1,0,135,132,888,888,888,0,2,2,0,4,2,46.34288220449190000000,4,2
7931,10,40,1-10-2017-040-06,6,1,0,1,1,1,1,0,1,1,1,1,0,0,140,138,888,888,888,0,2,2,0,0,88,1655.85275190167000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,0,1,1,1,1,1,1,1,1,1,1,1,140,138,888,888,888,0,2,2,0,0,88,2538.15212103402000000000,4,2
8068,10,42,1-10-2017-042-04,4,1,0,1,1,1,1,0,1,1,1,1,0,0,140,138,888,888,888,0,2,2,0,0,88,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,0,1,1,1,1,1,1,1,1,1,1,0,152,152,888,888,888,0,2,2,0,0,88,340.54286884701600000000,4,2
8181,10,44,1-10-2017-044-09,9,2,0,1,1,1,1,0,1,1,1,1,0,0,156,150,888,888,888,0,2,2,0,0,88,280.29553550113300000000,4,2
8204,10,45,1-10-2017-045-03,3,1,0,1,1,1,1,0,1,1,1,1,0,0,142,141,888,888,888,0,4,2,3,0,88,152.96440682076200000000,4,2
8413,10,49,1-10-2017-049-03,3,1,0,9,1,2,2,0,0,1,1,1,0,9,147,145,888,888,888,0,4,9,9,99,99,157.20339285080300000000,4,2
8477,10,50,1-10-2017-050-09,9,1,0,1,1,1,1,0,1,1,1,1,0,0,144,142,888,888,888,0,2,1,0,0,88,203.90545677916600000000,4,2
8478,10,51,1-10-2017-051-04,4,1,0,1,1,1,1,0,1,1,1,1,0,0,999,999,888,888,888,0,4,3,2,0,88,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,0,1,1,1,1,0,1,1,1,1,0,0,146,144,888,888,888,0,2,2,0,0,88,116.73917317886100000000,4,2
8542,10,52,1-10-2017-052-06,6,1,0,1,1,1,1,0,1,1,1,1,0,0,156,149,888,888,888,0,4,2,2,0,88,186.43497383052800000000,4,2
8609,10,58,1-10-2017-058-09,9,1,0,1,1,1,1,1,1,1,1,1,1,0,175,169,160,888,888,0,2,5,0,0,88,104.64509913880700000000,4,2
8776,10,61,1-10-2017-061-04,4,1,0,1,1,1,1,0,1,1,1,1,0,0,142,140,888,888,888,0,2,2,0,0,88,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,2,0,1,1,1,1,0,1,1,1,1,0,0,140,140,888,888,888,0,2,2,0,0,88,36.09665610412430000000,4,2
8786,10,63,1-10-2017-063-02,2,1,0,1,1,1,1,0,1,1,1,1,0,0,147,144,888,888,888,0,2,2,0,0,88,22.46197362103460000000,4,2
8786,10,63,1-10-2017-063-02,2,2,0,1,1,1,1,1,1,1,1,1,1,0,999,999,888,888,888,0,9,9,9,0,88,22.46197362103460000000,4,2
8787,10,64,1-10-2017-064-04,4,1,0,1,1,1,1,0,1,1,1,1,0,0,147,147,888,888,888,0,2,2,0,0,88,237.71564662407100000000,4,2
8788,10,65,1-10-2017-065-03,3,1,0,2,2,1,1,1,1,1,1,1,1,0,143,142,888,888,888,0,4,2,3,0,88,69.62864153073320000000,4,2
8851,10,66,1-10-2017-066-03,3,1,0,1,1,1,1,0,1,1,1,1,0,0,999,999,999,999,999,0,9,9,9,99,99,49.94718532412980000000,4,2
8851,10,66,1-10-2017-066-03,3,2,0,1,1,1,2,0,1,1,1,1,0,0,999,999,999,999,999,0,9,9,9,99,99,49.94718532412980000000,4,2
8852,10,67,1-10-2017-067-07,7,2,0,1,1,1,1,0,1,1,1,1,0,0,138,137,888,888,888,0,2,2,0,0,88,187.57866167248400000000,4,2
8927,10,68,1-10-2017-068-09,9,2,0,1,1,1,1,0,1,1,1,1,0,0,138,136,888,888,888,0,2,3,0,0,88,403.30917801774800000000,4,2
8928,10,69,1-10-2017-069-07,7,1,0,1,1,1,1,0,1,1,1,1,0,0,999,999,888,888,888,0,9,9,9,0,88,253.99691240200700000000,4,2
6400,11,2,1-11-2017-002-07,7,2,0,1,1,1,1,0,1,1,1,1,0,0,140,140,888,888,888,0,2,2,0,0,88,4629.69511355905000000000,8,2
6423,11,3,1-11-2017-003-03,3,1,0,1,1,1,1,0,1,1,1,1,0,0,171,170,888,888,888,0,2,3,0,0,88,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,1,0,1,1,1,1,0,1,1,1,1,0,0,142,140,888,888,888,0,2,1,0,0,88,2276.03898279806000000000,8,2
6424,11,4,1-11-2017-004-03,3,2,0,1,0,1,0,0,1,0,1,0,0,0,144,136,888,888,888,0,4,1,5,0,88,2276.03898279806000000000,8,2
6491,11,6,1-11-2017-006-03,3,2,0,1,1,1,1,0,1,1,1,1,0,0,136,132,888,888,888,0,2,1,0,0,88,3733.08442662582000000000,8,2
6534,11,8,1-11-2017-008-03,3,1,0,1,1,1,1,0,1,1,1,1,0,0,144,140,888,888,888,0,4,2,4,0,88,672.05886567222700000000,8,2
6619,11,11,1-11-2017-011-08,8,2,0,1,0,1,0,0,1,0,1,0,0,1,175,888,888,888,888,0,2,1,0,0,88,613.01599626985200000000,8,2
6620,11,12,1-11-2017-012-08,8,1,1,1,0,1,0,0,1,0,1,0,0,0,150,146,888,888,888,0,2,2,0,0,88,613.01599626985200000000,8,2
6666,11,13,1-11-2017-013-05,5,1,0,1,1,1,1,0,1,1,1,1,0,0,144,136,888,888,888,0,2,9,0,0,88,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,1,0,1,1,1,1,0,1,1,1,1,0,0,140,136,888,888,888,0,4,3,5,1,0,533.60897797681100000000,8,2
6667,11,14,1-11-2017-014-05,5,2,0,2,1,1,1,0,1,1,1,1,0,0,172,172,888,888,888,0,2,2,0,0,88,533.60897797681100000000,8,2
6705,11,15,1-11-2017-015-05,5,1,0,1,1,1,1,0,1,1,1,1,0,0,999,999,888,888,888,0,9,9,9,99,99,459.56320010308000000000,8,2
6705,11,15,1-11-2017-015-05,5,4,0,1,1,1,1,0,1,1,1,1,0,0,150,140,888,888,888,0,2,1,0,3,2,459.56320010308000000000,8,2
6706,11,16,1-11-2017-016-05,5,2,0,1,1,1,1,1,1,1,1,1,1,0,146,144,888,888,888,0,4,1,5,0,88,459.56320010308000000000,8,2
6746,11,17,1-11-2017-017-01,1,1,1,2,2,2,2,0,1,1,1,1,0,9,999,999,888,888,888,0,9,9,9,99,99,473.93014835835700000000,8,2
6809,11,18,1-11-2017-018-02,2,1,0,2,0,1,1,9,1,0,1,1,0,1,178,888,888,888,888,0,2,2,0,1,99,327.72235960346100000000,8,2
6809,11,18,1-11-2017-018-02,2,2,0,1,2,1,1,0,1,1,1,1,0,1,150,142,888,888,888,0,4,1,5,0,88,327.72235960346100000000,8,2
6844,11,19,1-11-2017-019-08,8,1,0,9,9,9,9,0,0,0,0,0,0,1,999,999,888,888,888,9,9,9,9,99,99,1502.31800595479000000000,8,2
6943,11,20,1-11-2017-020-01,1,1,0,9,9,9,9,0,0,0,0,0,0,9,999,999,888,888,888,9,9,9,9,99,99,142.98764664428800000000,8,2
6995,11,21,1-11-2017-021-09,9,1,0,1,2,1,1,0,1,1,1,1,0,0,157,154,888,888,888,0,4,5,3,0,88,13617.39825112580000000000,8,2
7034,11,22,1-11-2017-022-06,6,3,0,1,1,1,1,0,1,1,1,1,0,9,999,999,888,888,888,9,4,9,9,99,99,6809.55000197747000000000,8,2
