CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVENTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
6667,11,14,1-11-2017-014-05,5,1,1,4,Side Crash,1,99998,7,7,9997,7,9997,997,9997,997,9997,533.60897797681100000000,8,2
6706,11,16,1-11-2017-016-05,5,2,1,1,Most Recent Event,1,13525,1,7,9997,7,9997,-27,255,2,78,459.56320010308000000000,8,2
6706,11,16,1-11-2017-016-05,5,2,1,2,1st Prior Event,97,9327,1,7,9997,7,9997,-20,255,0,65,459.56320010308000000000,8,2
8472,11,56,1-11-2017-056-02,2,1,1,1,Most Recent Event,2,1650,0,7,9997,1,9997,-14,297,997,9997,182.45859960946600000000,8,2
8472,11,56,1-11-2017-056-02,2,1,1,2,1st Prior Event,1,1650,0,7,9997,1,9997,997,9997,997,9997,182.45859960946600000000,8,2
8472,11,56,1-11-2017-056-02,2,1,1,3,2nd Prior Event,97,1650,0,7,9997,1,9997,997,9997,997,9997,182.45859960946600000000,8,2
8838,11,61,1-11-2017-061-02,2,2,1,1,Most Recent Event,1,727,0,1,0,1,9997,30,112,-3,234,356.97106988378900000000,8,2
6110,12,1,1-12-2017-001-06,6,1,1,1,Deployment,1,18241,0,7,9997,1,108,-45,108,997,9997,831.84353437745300000000,9,2
6110,12,1,1-12-2017-001-06,6,1,1,2,Non-Deployment,1,18241,0,7,0,1,83,0,83,997,9997,831.84353437745300000000,9,2
6185,12,2,1-12-2017-002-06,6,1,1,1,Deployment,3,20379,0,7,0,1,9997,997,9997,997,9997,6809.55000197747000000000,9,2
6367,12,7,1-12-2017-007-04,4,1,1,1,Most Recent Event,1,115,0,7,9997,1,9997,-8,137,997,9997,1021.86144489025000000000,9,2
6367,12,7,1-12-2017-007-04,4,1,1,2,1st Prior Event,97,115,0,7,9997,1,9997,997,9997,997,9997,1021.86144489025000000000,9,2
6367,12,7,1-12-2017-007-04,4,1,1,3,2nd Prior Event,97,115,0,7,9997,1,9997,997,9997,997,9997,1021.86144489025000000000,9,2
6396,12,8,1-12-2017-008-03,3,1,1,1,Event Record 1,1,1938,0,1,9997,1,9997,-23,300,-8,80,1095.44977438854000000000,9,2
6475,12,10,1-12-2017-010-02,2,1,1,1,Event Record 1,1,7305,0,1,9997,1,9997,5,46,8,54,564.82332510940000000000,9,2
6475,12,10,1-12-2017-010-02,2,2,1,1,Event Record 1,1,8641,0,1,9997,1,9997,-11,144,-3,150,564.82332510940000000000,9,2
6580,12,12,1-12-2017-012-08,8,1,1,1,Non-Deployment,1,16617,0,7,9997,1,170,997,9997,997,9997,1347.70857556865000000000,9,2
6734,12,15,1-12-2017-015-09,9,1,1,1,Deployment,2,21073,0,7,9997,1,9997,997,9997,997,9997,3747.88353603989000000000,9,2
6777,12,17,1-12-2017-017-06,6,1,1,1,Non-Deployment,1,20467,0,7,9997,1,170,997,9997,997,9997,917.18174815223400000000,9,2
6816,12,18,1-12-2017-018-05,5,1,1,1,Most Recent Frontal/Rear Event,1,99998,1,7,9997,1,9997,-60,9997,997,9997,628.83294075430700000000,9,2
6816,12,18,1-12-2017-018-05,5,1,1,2,1st Prior Frontal/Rear Event,97,99998,1,7,9997,1,9997,-4,9997,997,9997,628.83294075430700000000,9,2
6816,12,18,1-12-2017-018-05,5,1,1,3,Prior Frontal/Rear Event,97,99998,0,7,9997,1,9997,-4,9997,997,9997,628.83294075430700000000,9,2
6863,12,19,1-12-2017-019-08,8,2,1,1,Non-Deployment,1,27213,0,7,9997,7,0,0,0,997,9997,1502.31800595479000000000,9,2
6917,12,20,1-12-2017-020-06,6,1,1,1,Event 1,1,11395,0,1,9997,1,160,-18,160,0,160,1254.99773785581000000000,9,2
6917,12,20,1-12-2017-020-06,6,2,1,1,Event 1,1,7864,0,0,9997,1,90,23,90,2,90,1254.99773785581000000000,9,2
7005,12,23,1-12-2017-023-06,6,1,1,1,Most Recent Event,1,99998,7,7,9997,7,9997,997,9997,997,9997,527.92250471460800000000,9,2
7139,12,27,1-12-2017-027-01,1,1,1,1,Non-Deployment,2,37861,1,7,9997,1,208,-8,208,997,9997,473.93014835835700000000,9,2
7171,12,28,1-12-2017-028-03,3,1,1,1,Non-Deployment,1,19699,0,7,9997,1,93,-0,93,997,9997,4470.95150360823000000000,9,2
7171,12,28,1-12-2017-028-03,3,2,1,1,Event Record 1,1,7005,0,1,9997,1,9997,-5,144,2,116,4470.95150360823000000000,9,2
7211,12,29,1-12-2017-029-09,9,1,1,1,Non-Deployment,99,28088,0,7,9997,7,8,-0,8,997,9997,3832.45356653444000000000,9,2
7212,12,30,1-12-2017-030-07,7,1,1,1,Most Recent Frontal/Rear Event,1,99998,0,7,9997,1,9997,-25,9997,997,9997,2259.18028942213000000000,9,2
7212,12,30,1-12-2017-030-07,7,1,1,2,1st Prior Frontal/Rear Event,97,99998,0,7,9997,1,9997,1,9997,997,9997,2259.18028942213000000000,9,2
7259,12,31,1-12-2017-031-02,2,1,1,1,Event Record 1,1,13560,0,1,9997,1,128,-11,148,11,80,655.80624481642800000000,9,2
7259,12,31,1-12-2017-031-02,2,2,1,1,Non-Deployment,1,22763,0,7,9997,1,95,-7,95,997,9997,655.80624481642800000000,9,2
7316,12,32,1-12-2017-032-03,3,1,1,1,Event Record 1,1,276,0,1,9997,1,9997,2,270,-2,300,631.78882147421700000000,9,2
7455,12,34,1-12-2017-034-04,4,1,1,1,First Record,1,8344,0,1,9997,1,9997,-27,300,-7,300,3990.87077387485000000000,9,2
7456,12,35,1-12-2017-035-04,4,1,1,1,Event Record 1,1,5711,0,1,9997,0,9997,-48,300,16,300,3990.87077387485000000000,9,2
7586,12,38,1-12-2017-038-04,4,1,1,1,Non-Deployment,1,44164,0,7,9997,7,260,-10,260,997,9997,890.33745427701100000000,9,2
7618,12,39,1-12-2017-039-07,7,1,1,1,Most Recent Frontal/Rear Event,2,99998,1,7,9997,1,9997,-58,9997,997,9997,990.61558318088500000000,9,2
7618,12,39,1-12-2017-039-07,7,1,1,2,1st Prior Frontal/Rear Event,97,99998,1,7,9997,1,9997,-4,9997,997,9997,990.61558318088500000000,9,2
7618,12,39,1-12-2017-039-07,7,1,1,3,Prior Frontal/Rear Event,97,99998,0,7,9997,1,9997,-8,9997,997,9997,990.61558318088500000000,9,2
7618,12,39,1-12-2017-039-07,7,1,1,4,Side Crash,97,99998,7,7,9997,7,9997,997,9997,997,9997,990.61558318088500000000,9,2
7674,12,40,1-12-2017-040-05,5,1,1,1,Event 1,2,20685,0,1,9997,1,9997,997,9997,997,9997,628.83294075430700000000,9,2
7674,12,40,1-12-2017-040-05,5,1,1,2,Event 2,1,20685,0,1,655,1,140,-16,140,-6,140,628.83294075430700000000,9,2
7674,12,40,1-12-2017-040-05,5,1,1,3,Event 3,2,20685,0,1,1,1,290,-2,290,11,290,628.83294075430700000000,9,2
7674,12,40,1-12-2017-040-05,5,2,1,1,Most Recent Frontal/Rear Event,97,99998,1,7,9997,1,9997,-6,9997,997,9997,628.83294075430700000000,9,2
7674,12,40,1-12-2017-040-05,5,2,1,2,1st Prior Frontal/Rear Event,97,99998,1,7,9997,1,9997,-11,9997,997,9997,628.83294075430700000000,9,2
7674,12,40,1-12-2017-040-05,5,2,1,3,Rollover,97,99998,7,7,9997,7,9997,997,9997,997,9997,628.83294075430700000000,9,2
7713,12,41,1-12-2017-041-03,3,1,1,1,First Record,1,99998,7,7,9997,7,9997,997,9997,997,9997,461.69698135238800000000,9,2
7713,12,41,1-12-2017-041-03,3,2,1,1,Event Record 1,1,3579,0,1,9997,1,9997,-19,128,13,134,461.69698135238800000000,9,2
7709,12,42,1-12-2017-042-04,4,1,1,1,Most Recent Event,1,365,0,7,9997,1,9997,997,9997,997,9997,2139.05710310235000000000,9,2
7709,12,42,1-12-2017-042-04,4,1,1,2,1st Prior Event,1,365,0,7,9997,1,9997,997,9997,997,9997,2139.05710310235000000000,9,2
7764,12,43,1-12-2017-043-03,3,1,1,1,Non-Deployment,1,99998,7,7,9997,7,9997,997,9997,997,9997,838.43731407849400000000,9,2
7832,12,45,1-12-2017-045-09,9,1,1,1,Non-Deployment,1,47546,1,7,1,7,9997,-0,9997,997,9997,3838.87221500274000000000,9,2
7868,12,46,1-12-2017-046-03,3,1,1,1,Event Record 1,1,1675,0,1,9997,1,9997,-23,130,0,112,438.99723933472900000000,9,2
7874,12,47,1-12-2017-047-09,9,1,1,1,Most Recent Frontal/Rear Event,1,99998,0,7,9997,1,9997,-26,9997,997,9997,2454.35239269099000000000,9,2
7874,12,47,1-12-2017-047-09,9,1,1,2,1st Prior Frontal/Rear Event,97,99998,0,7,9997,1,9997,5,9997,997,9997,2454.35239269099000000000,9,2
7874,12,47,1-12-2017-047-09,9,1,1,3,Prior Frontal/Rear Event,97,99998,0,7,9997,1,9997,-5,9997,997,9997,2454.35239269099000000000,9,2
7948,12,48,1-12-2017-048-03,3,1,1,1,Most Recent Event,1,5749,0,1,0,1,9997,-14,114,997,9997,896.22568943129300000000,9,2
7949,12,49,1-12-2017-049-03,3,2,1,1,Most Recent Event,1,7889,0,1,9995,1,9997,-11,160,9,102,896.22568943129300000000,9,2
8002,12,51,1-12-2017-051-10,10,1,1,1,Non-Deployment,1,34427,0,7,9997,1,113,-5,113,997,9997,1132.14903654290000000000,9,2
8002,12,51,1-12-2017-051-10,10,2,1,1,First Record,1,99998,0,7,9997,7,9997,997,9997,997,9997,1132.14903654290000000000,9,2
8066,12,53,1-12-2017-053-06,6,1,1,1,Most Recent Event,1,238,0,7,9997,7,9997,997,9997,997,9997,1216.52299057212000000000,9,2
8193,12,55,1-12-2017-055-05,5,2,1,1,Most Recent Event,1,99998,1,7,9997,1,9997,997,9997,997,9997,385.57133132396900000000,9,2
8193,12,55,1-12-2017-055-05,5,2,1,2,1st Prior Event,1,99998,1,7,9997,1,9997,-20,9997,997,9997,385.57133132396900000000,9,2
8193,12,55,1-12-2017-055-05,5,2,1,3,2nd Prior Event,97,99998,1,7,9997,1,9997,5,9997,997,9997,385.57133132396900000000,9,2
8194,12,56,1-12-2017-056-04,4,1,1,1,Most Recent Event,1,5247,0,1,9995,1,9997,-11,194,2,130,6880.05579409105000000000,9,2
8469,12,63,1-12-2017-063-03,3,2,1,1,Event Record 1,1,2969,0,1,9997,1,9997,24,166,2,126,597.19614055370900000000,9,2
8470,12,64,1-12-2017-064-07,7,2,1,1,Non-Deployment,1,99998,7,7,9997,7,9997,997,9997,997,9997,3078.45527080477000000000,9,2
8556,12,65,1-12-2017-065-03,3,1,1,1,Non-Deployment,1,13104,0,7,9997,1,250,997,9997,997,9997,1316.99171800419000000000,9,2
8679,12,69,1-12-2017-069-03,3,1,1,1,Most Recent Event,5,5591,0,1,9995,1,9997,-23,290,7,276,1450.54178421601000000000,9,2
8896,12,73,1-12-2017-073-03,3,1,1,1,Event Record 1,2,638,0,1,9997,1,105,-10,108,-3,75,1416.44009618599000000000,9,2
8896,12,73,1-12-2017-073-03,3,1,1,2,Event Record 2,1,638,0,2,1,1,100,-32,95,3,100,1416.44009618599000000000,9,2
8896,12,73,1-12-2017-073-03,3,3,1,1,First Record,2,5524,0,1,9997,1,9997,-23,93,4,103,1416.44009618599000000000,9,2
8939,12,74,1-12-2017-074-06,6,2,1,1,First Record,1,9395,0,1,9997,1,9997,-27,278,-15,300,419.20923822946600000000,9,2
9045,12,75,1-12-2017-075-04,4,2,1,1,Event 1,97,7972,0,0,9997,1,100,-14,100,0,100,1851.81367077250000000000,9,2
9045,12,75,1-12-2017-075-04,4,2,1,2,Event 2,2,8269,0,0,1,1,110,-8,110,-2,110,1851.81367077250000000000,9,2
6050,13,1,1-13-2017-001-04,4,2,1,1,First Record,1,1605,0,1,9997,1,9997,-8,130,997,9997,2302.56589082077000000000,7,2
6050,13,1,1-13-2017-001-04,4,2,1,2,Second Record,2,1605,0,2,1,1,9997,6,250,997,9997,2302.56589082077000000000,7,2
6179,13,4,1-13-2017-004-03,3,2,1,1,Event Record 1,2,4216,0,1,9997,1,9997,6,66,0,242,1311.02538454043000000000,7,2
6251,13,6,1-13-2017-006-03,3,1,1,1,Event Record 1,1,131,0,1,9997,1,300,-42,300,-10,153,803.97047188463400000000,7,2
6251,13,6,1-13-2017-006-03,3,1,1,2,Event Record 2,2,131,1,2,3,1,255,16,255,-2,58,803.97047188463400000000,7,2
6252,13,7,1-13-2017-007-02,2,2,1,1,Event Record 1,2,6223,0,4,9997,1,9997,24,280,13,262,62.50188682578690000000,7,2
6252,13,7,1-13-2017-007-02,2,2,1,2,Event Record 2,97,6223,0,5,9997,1,9997,-11,72,5,58,62.50188682578690000000,7,2
6252,13,7,1-13-2017-007-02,2,2,1,3,Event Record 3,1,6223,0,3,9997,1,9997,-24,282,-3,204,62.50188682578690000000,7,2
6315,13,9,1-13-2017-009-04,4,2,1,1,Event Record 1,1,6086,0,1,9997,1,9997,13,300,-2,105,4954.12389489274000000000,7,2
6316,13,10,1-13-2017-010-01,1,1,2,1,Deployment,1,19025,0,7,0,1,9997,997,9997,997,9997,333.15253105404000000000,7,2
6316,13,10,1-13-2017-010-01,1,1,2,2,Deployment #2,1,19024,1,7,0,1,9997,997,9997,997,9997,333.15253105404000000000,7,2
6408,13,12,1-13-2017-012-03,3,2,1,1,First Record,1,6547,0,1,9997,1,9997,-15,300,6,105,1539.21955305570000000000,7,2
6409,13,13,1-13-2017-013-05,5,1,1,1,Most Recent Event,2,6383,0,7,9997,1,9997,997,9997,997,9997,262.30835201285800000000,7,2
6409,13,13,1-13-2017-013-05,5,1,1,2,1st Prior Event,2,6383,0,7,9997,1,9997,-30,225,997,9997,262.30835201285800000000,7,2
6409,13,13,1-13-2017-013-05,5,1,1,3,2nd Prior Event,1,6383,0,7,9997,1,9997,997,9997,997,9997,262.30835201285800000000,7,2
6409,13,13,1-13-2017-013-05,5,1,1,4,3rd Prior Event,1,99998,7,7,9997,1,9997,-16,177,997,9997,262.30835201285800000000,7,2
6445,13,15,1-13-2017-015-03,3,3,1,1,Most Recent Event,2,99998,0,7,9997,1,9997,11,9997,997,9997,1777.44237550816000000000,7,2
6445,13,15,1-13-2017-015-03,3,3,1,2,1st Prior Event,97,99998,0,7,9997,1,9997,997,9997,997,9997,1777.44237550816000000000,7,2
6493,13,16,1-13-2017-016-04,4,1,1,1,Most Recent Event,2,6257,0,2,1,1,9997,-13,240,11,256,2740.02107410605000000000,7,2
6493,13,16,1-13-2017-016-04,4,1,1,2,1st Prior Event,1,6257,0,1,0,1,9997,2,22,22,64,2740.02107410605000000000,7,2
6493,13,16,1-13-2017-016-04,4,1,1,3,2nd Prior Event,97,73,0,1,0,1,9997,12,242,-1,156,2740.02107410605000000000,7,2
6540,13,19,1-13-2017-019-04,4,1,1,1,Event Record 1,1,1891,0,1,9997,1,9997,-5,178,-19,83,12110.59043255430000000000,7,2
6590,13,20,1-13-2017-020-02,2,2,1,1,Most Recent Event,1,3420,0,7,9997,1,9997,997,9997,997,9997,154.19440424693100000000,7,2
6590,13,20,1-13-2017-020-02,2,2,1,2,1st Prior Event,1,3420,0,7,9997,1,9997,-36,170,997,9997,154.19440424693100000000,7,2
6591,13,21,1-13-2017-021-02,2,2,1,1,Event Record 1,2,5385,0,1,9997,1,9997,-3,44,-6,36,154.19440424639500000000,7,2
6591,13,21,1-13-2017-021-02,2,2,1,2,Event Record 2,3,5385,0,2,1,1,9997,-61,150,-16,68,154.19440424639500000000,7,2
6646,13,23,1-13-2017-023-03,3,1,1,1,First Record,2,3174,0,1,0,1,9997,-1,297,997,9997,1265.85023364405000000000,7,2
6683,13,25,1-13-2017-025-04,4,2,1,1,Most Recent Event,1,2150,0,7,9997,1,9997,-11,113,997,9997,4500.46066267450000000000,7,2
6683,13,25,1-13-2017-025-04,4,2,1,2,1st Prior Event,1,2150,0,7,9997,1,9997,997,9997,997,9997,4500.46066267450000000000,7,2
6683,13,25,1-13-2017-025-04,4,2,1,3,2nd Prior Event,97,1270,0,7,9997,1,9997,8,97,997,9997,4500.46066267450000000000,7,2
6683,13,25,1-13-2017-025-04,4,2,1,4,3rd Prior Event,97,99998,7,7,9997,1,9997,997,9997,997,9997,4500.46066267450000000000,7,2
6723,13,27,1-13-2017-027-08,8,1,1,1,Deployment,3,34249,0,7,1,1,205,-56,205,997,9997,1145.11784943843000000000,7,2
6723,13,27,1-13-2017-027-08,8,1,1,2,Non-Deployment,2,34249,0,7,9997,1,0,0,0,997,9997,1145.11784943843000000000,7,2
6757,13,28,1-13-2017-028-04,4,2,1,1,First Record,1,6437,0,1,9997,1,9997,-10,129,4,84,4712.18190865343000000000,7,2
6758,13,29,1-13-2017-029-06,6,2,1,1,0_frontal Trigger Event,1,97,7,7,9997,1,9997,997,9997,997,9997,2614.98469636895000000000,7,2
