CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,CHILDSEATNO,SEATLOC,CHILDMANUF,CHILDMAKE,CHILDMODEL,CHILDMODELNO,CHILDSEATYPE,CHILDDATEMAN,HOWUSED,DATASOURCE,ORIENTATION,HARNESSDESIGN,RETAINERCLIPDESIGN,TETHERDESIGN,LATCHDESIGN,HARNESSUSE,RETAINERCLIPUSE,TETHERUSE,LATCHUSE,BELTROUT,LOCKCLIPUSE,PLACEMENT,CHILDPOSITION,BELTRETYPE,LATCHPLATE,LATCHANCHOR,LATCHTETHER,CASEWGT,PSUSTRAT,VERSION
7715,14,42,1-14-2017-042-02,2,2,3,1,23,12,19,9997,34712060,2,02/16/2017,2,1,2,2,1,1,1,3,9,1,9,9,0,1,1,5,1,1,1,216.31812574293200000000,8,2
8055,14,51,1-14-2017-051-03,3,2,2,1,21,98,98,9998,99999999,2,99999999,2,2,2,2,1,1,1,2,5,2,1,4,0,1,9,5,1,1,1,824.29045383351600000000,8,2
8055,14,51,1-14-2017-051-03,3,2,3,2,22,98,98,9998,99999999,2,99999999,1,2,1,2,1,1,1,0,5,2,1,4,0,1,9,5,1,1,1,824.29045383351600000000,8,2
9016,14,73,1-14-2017-073-06,6,2,3,1,21,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,1,9,2,9,9,9,3185.24500956873000000000,8,2
9016,14,73,1-14-2017-073-06,6,2,4,2,23,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,1,9,4,9,9,9,3185.24500956873000000000,8,2
7067,15,27,1-15-2017-027-03,3,1,3,1,22,10,12,1011,IC247DHR,1,05/18/2016,1,2,1,2,1,0,1,3,3,0,1,4,0,1,2,2,1,1,1,627.04282600614600000000,1,2
7392,15,42,1-15-2017-042-02,2,1,2,1,21,98,98,9998,99999999,99,99999999,9,1,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,12.50099393235700000000,1,2
7392,15,42,1-15-2017-042-02,2,1,3,2,23,98,98,9998,99999999,99,99999999,9,1,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,12.50099393235700000000,1,2
7681,15,52,1-15-2017-052-03,3,2,3,1,23,98,98,9998,99999999,6,99999999,3,2,2,0,0,0,0,0,0,0,0,9,0,1,1,0,9,9,9,132.58424974971700000000,1,2
8093,15,76,1-15-2017-076-05,5,2,3,1,21,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,63.82201802135370000000,1,2
8093,15,76,1-15-2017-076-05,5,2,4,2,23,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,63.82201802135370000000,1,2
8444,15,92,1-15-2017-092-03,3,1,3,2,21,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,430.80073115992800000000,1,2
8444,15,92,1-15-2017-092-03,3,1,4,4,23,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,430.80073115992800000000,1,2
6487,16,19,1-16-2017-019-07,7,2,3,1,21,12,19,6023,3414198,6,08/08/2014,3,3,2,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,2086.59532955070000000000,5,2
6487,16,19,1-16-2017-019-07,7,2,4,2,22,13,23,6031,8E09TRR,6,05/17/2007,3,3,2,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,2086.59532955070000000000,5,2
6487,16,19,1-16-2017-019-07,7,2,5,3,23,15,26,6033,0804003HRD,6,10/14/2014,3,3,2,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,2086.59532955070000000000,5,2
6528,16,21,1-16-2017-021-05,5,2,2,1,22,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,83.13617271333370000000,5,2
8952,16,93,1-16-2017-093-03,3,1,2,1,23,9,10,4001,99999999,4,99999999,2,1,2,2,1,1,1,3,3,1,3,2,0,1,1,2,1,1,1,387.27514087760900000000,5,2
7540,17,48,1-17-2017-048-07,7,2,3,1,21,98,98,9998,99999999,6,99999999,3,2,2,0,0,0,0,0,0,0,3,0,0,1,1,2,1,1,1,532.26946261456200000000,4,2
7772,17,56,1-17-2017-056-03,3,2,2,1,21,98,98,9998,99999999,6,99999999,3,2,2,0,0,0,0,0,0,0,0,9,9,1,1,2,3,1,1,227.76959912268800000000,4,2
7835,17,60,1-17-2017-060-06,6,1,2,1,23,98,98,9998,99999999,6,99999999,3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,368.15814485261600000000,4,2
8268,17,77,1-17-2017-077-05,5,1,3,1,23,10,16,9998,99999999,5,99999999,2,2,2,2,1,1,1,4,1,1,3,5,0,1,1,9,3,1,1,87.06136847460150000000,4,2
8358,17,79,1-17-2017-079-07,7,1,2,1,22,13,23,1034,1988643,1,11/07/2017,1,3,1,2,1,0,1,3,2,2,1,4,1,1,1,9,3,1,1,905.49764286430300000000,4,2
6543,18,11,1-18-2017-011-06,6,1,2,1,23,10,16,2020,22475BVL,2,04/09/2008,2,1,2,2,1,1,1,2,4,1,3,3,0,1,1,4,1,1,1,726.60901657940100000000,6,2
7438,18,34,1-18-2017-034-03,3,2,3,1,21,13,23,6031,99999999,6,99999999,3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,9,9,1,1,172.96302857608600000000,6,2
7438,18,34,1-18-2017-034-03,3,2,4,2,23,13,23,2037,99999999,2,99999999,2,2,2,2,1,1,1,3,3,2,1,1,0,1,1,9,9,1,1,172.96302857608600000000,6,2
8073,18,52,1-18-2017-052-06,6,2,3,1,22,98,98,9998,99999999,99,99999999,2,5,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,589.07980849348800000000,6,2
8388,18,60,1-18-2017-060-03,3,1,3,2,31,98,98,9998,99999999,99,99999999,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,5,1,1,1,219.84355060555800000000,6,2
6609,19,32,1-19-2017-032-03,3,1,2,1,23,98,98,9998,99999999,99,99999999,1,2,1,9,9,9,9,5,9,9,9,9,9,1,9,9,2,1,9,513.15205179595300000000,9,2
6609,19,32,1-19-2017-032-03,3,2,2,1,23,12,19,9998,99999999,6,99999999,3,2,2,2,9,9,1,2,9,9,1,0,9,1,1,9,1,1,1,513.15205179595300000000,9,2
7060,19,59,1-19-2017-059-05,5,1,4,1,23,13,23,9998,99999999,3,99999999,2,2,2,1,0,0,0,9,0,0,0,2,0,1,1,9,3,1,1,79.98489951025890000000,9,2
7164,19,63,1-19-2017-063-05,5,1,4,1,23,98,98,9998,99999999,99,99999999,2,5,2,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,82.44532525020580000000,9,2
7429,19,78,1-19-2017-078-05,5,1,4,1,22,12,19,2032,38211713,2,03/15/2017,1,2,1,2,1,0,1,4,9,2,3,2,0,1,2,0,0,1,1,79.98489951025890000000,9,2
7430,19,79,1-19-2017-079-03,3,2,2,2,23,98,98,9998,99999999,6,99999999,3,5,2,0,0,0,0,0,0,0,0,0,0,1,9,9,9,1,1,224.03830118455600000000,9,2
7525,19,80,1-19-2017-080-04,4,2,2,1,23,98,98,9998,99999999,2,99999999,2,2,2,2,1,1,1,3,9,2,3,3,0,1,2,2,1,1,1,696.16305401262900000000,9,2
7883,19,95,1-19-2017-095-02,2,2,3,1,21,98,98,9998,99999999,99,99999999,9,2,9,9,9,9,9,9,9,9,9,9,9,1,1,5,1,1,9,134.56453847884200000000,9,2
8946,19,142,1-19-2017-142-07,7,2,2,1,21,12,19,2032,3801831 PQ,2,03/18/2010,2,2,2,2,1,1,1,4,5,2,1,1,0,1,1,3,1,1,1,808.93373686221300000000,9,2
6878,20,39,1-20-2017-039-06,6,1,3,2,21,15,26,6033,0304003L,6,03/19/2010,3,1,2,0,0,0,0,0,0,0,0,0,0,1,9,4,1,0,0,521.70445216948900000000,11,2
6878,20,39,1-20-2017-039-06,6,1,4,1,23,10,12,6011,4384376E,6,04/14/2016,3,1,2,0,0,0,0,0,0,0,0,0,0,1,9,4,1,0,0,521.70445216948900000000,11,2
6971,20,46,1-20-2017-046-02,2,2,2,1,21,13,23,9998,99999999,6,99999999,3,2,2,0,0,0,0,0,0,0,0,0,0,1,9,5,1,1,1,39.06733804536630000000,11,2
7191,20,60,1-20-2017-060-02,2,1,3,1,21,98,98,9998,99999999,2,99999999,2,2,2,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,39.06733804536630000000,11,2
7191,20,60,1-20-2017-060-02,2,1,4,2,23,98,98,9998,99999999,2,99999999,2,2,2,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,39.06733804536630000000,11,2
8288,20,131,1-20-2017-131-10,10,1,,1,23,12,19,6023,36511910,6,10/03/2017,3,1,2,0,0,0,0,0,0,0,0,1,0,1,0,4,1,1,1,3419.93796732835000000000,11,2
8452,20,140,1-20-2017-140-03,3,2,2,2,23,13,23,5026,1881019,5,06/28/2013,2,3,2,2,1,1,1,2,3,1,3,2,0,1,9,4,1,1,1,129.75163194922700000000,11,2
8518,20,142,1-20-2017-142-06,6,2,4,1,22,98,98,9998,99999999,99,99999999,9,2,9,9,9,9,9,9,9,9,9,9,9,1,1,4,1,1,1,299.84932881003100000000,11,2
8828,20,157,1-20-2017-157-03,3,2,3,3,22,10,12,9998,99999999,99,99999999,2,2,2,9,9,9,9,5,5,1,3,2,9,1,1,4,1,1,1,218.97033816410200000000,11,2
8864,20,160,1-20-2017-160-07,7,1,2,2,21,13,98,9998,99999999,2,99999999,2,2,2,2,1,1,1,2,3,2,1,5,9,1,1,9,9,9,9,1033.66503269002000000000,11,2
6354,21,6,1-21-2017-006-04,4,1,3,1,21,6,6,1009,08061472180070,1,05/01/2014,1,2,1,2,1,0,1,2,3,0,1,4,0,1,3,1,1,1,1,1145.92166113939000000000,11,2
6589,21,11,1-21-2017-011-03,3,1,2,1,23,13,23,6031,1874739,6,12/30/2013,3,2,2,0,0,0,0,0,0,0,0,2,0,1,1,2,1,0,0,1144.07539125013000000000,11,2
6829,21,17,1-21-2017-017-03,3,1,3,3,21,98,98,9998,99999999,6,99999999,3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,9,1,1,1,311.95669406143700000000,11,2
6829,21,17,1-21-2017-017-03,3,2,3,1,23,13,23,2034,1933763,2,05/03/2016,2,2,2,2,1,1,1,2,3,1,3,3,0,1,1,2,1,1,1,311.95669406143700000000,11,2
7270,21,26,1-21-2017-026-03,3,2,2,1,23,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,327.88849704602700000000,11,2
7531,21,35,1-21-2017-035-03,3,1,2,1,21,13,23,1034,1965898,1,08/10/2016,1,2,1,2,1,0,1,3,3,0,0,4,0,1,2,4,1,1,1,336.39941328647300000000,11,2
7531,21,35,1-21-2017-035-03,3,1,3,2,22,13,23,1034,1965898,1,08/10/2016,1,2,1,2,1,0,1,3,3,0,0,4,0,1,2,4,1,1,1,336.39941328647300000000,11,2
7531,21,35,1-21-2017-035-03,3,1,4,3,23,4,4,5002,E9LE31A,5,08/01/2011,2,2,2,2,1,1,1,3,9,1,3,3,0,1,1,4,1,1,1,336.39941328647300000000,11,2
7841,21,52,1-21-2017-052-06,6,1,2,1,22,13,23,9998,99999999,1,99999999,1,2,1,2,1,0,1,2,3,0,1,4,9,1,2,5,1,1,1,193.07074573822400000000,11,2
8974,21,77,1-21-2017-077-03,3,1,2,2,23,10,16,9998,99999999,3,99999999,2,2,2,9,1,1,1,5,3,1,3,9,0,1,1,4,1,1,1,332.65973799181000000000,11,2
6321,22,11,1-22-2017-011-09,9,1,3,1,23,13,23,2036,1897829,2,09/26/2014,1,3,1,2,1,0,1,3,5,1,3,4,0,1,1,1,0,0,0,282.52237571216900000000,12,2
6500,22,20,1-22-2017-020-09,9,2,3,4,21,15,26,6033,0304003GNT,6,09/13/2015,3,3,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,795.82838325283200000000,12,2
6500,22,20,1-22-2017-020-09,9,2,4,3,23,12,19,2030,38111013,2,09/13/2010,2,3,2,2,1,1,1,2,3,1,3,3,9,1,1,2,1,0,0,795.82838325283200000000,12,2
6500,22,20,1-22-2017-020-09,9,2,5,1,31,15,26,6033,0304003PZB,6,09/11/2013,3,3,2,0,0,0,0,0,0,0,0,0,0,1,1,9,0,0,1,795.82838325283200000000,12,2
6500,22,20,1-22-2017-020-09,9,2,6,2,33,98,98,9998,99999999,6,99999999,3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,795.82838325283200000000,12,2
7071,22,52,1-22-2017-052-01,1,2,3,1,22,10,12,5005,BC038-KEY,5,12/11/2014,2,3,2,2,1,1,1,2,5,9,1,9,9,1,1,4,1,0,1,96.89001786134840000000,12,2
7275,22,64,1-22-2017-064-10,10,1,3,1,21,12,19,4010,34511720,4,02/13/2015,2,1,2,2,1,1,1,3,3,1,3,3,0,1,1,1,1,0,0,147.61596655612600000000,12,2
7275,22,64,1-22-2017-064-10,10,1,4,2,23,13,23,1034,1938530,1,01/04/2016,1,1,1,2,1,0,1,2,3,1,3,4,0,1,2,1,1,0,0,147.61596655612600000000,12,2
7554,22,75,1-22-2017-075-10,10,1,2,1,23,13,23,6031,1920047,6,04/08/2016,3,3,2,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,1437.20064662858000000000,12,2
7781,22,88,1-22-2017-088-09,9,1,3,2,21,15,26,6033,0304003HRD,6,04/27/2015,3,3,2,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,0,303.05820271233400000000,12,2
7781,22,88,1-22-2017-088-09,9,1,4,1,23,12,19,5016,32911084,5,06/10/2010,2,3,2,2,1,1,1,3,3,1,3,3,0,1,1,5,0,0,0,303.05820271233400000000,12,2
7968,22,99,1-22-2017-099-10,10,1,2,1,21,13,23,9997,1933831,2,09/16/2015,2,3,2,2,1,1,1,4,3,2,1,0,0,1,1,5,1,1,1,1279.90483931947000000000,12,2
8638,22,115,1-22-2017-115-04,4,2,2,1,21,15,26,6033,0304003BGM,6,01/17/2013,3,3,2,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,315.63178886863300000000,12,2
8638,22,115,1-22-2017-115-04,4,2,3,2,23,6,6,1009,0406147281,1,06/27/2016,1,3,1,2,1,0,1,3,3,0,3,4,0,1,2,2,1,1,1,315.63178886863300000000,12,2
7513,23,69,1-23-2017-069-04,4,2,2,1,21,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,605.28574683126800000000,5,2
7513,23,69,1-23-2017-069-04,4,2,3,2,23,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,605.28574683126800000000,5,2
7993,23,91,1-23-2017-091-08,8,1,2,1,23,98,98,9998,99999999,99,99999999,2,5,2,9,9,9,9,9,9,9,9,9,9,1,9,9,1,0,9,159.72057021753900000000,5,2
8844,23,128,1-23-2017-128-07,7,2,6,3,33,98,98,9998,99999999,6,99999999,3,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,845.05887319653900000000,5,2
8930,23,132,1-23-2017-132-04,4,2,2,2,21,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,851.32694225290200000000,5,2
6375,24,13,1-24-2017-013-07,7,1,2,1,21,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,4,1,1,1,556.16111162618500000000,1,2
7050,24,50,1-24-2017-050-06,6,2,2,1,21,12,19,6023,30911291,6,01/30/2012,3,3,2,0,0,0,0,0,0,0,0,2,0,1,1,4,1,1,1,421.06000444303000000000,1,2
7050,24,50,1-24-2017-050-06,6,2,3,2,23,13,23,6031,1967886,6,01/15/2016,3,3,2,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,421.06000444303000000000,1,2
7303,24,64,1-24-2017-064-04,4,2,2,1,21,12,19,5019,31011921,5,12/29/2016,2,3,2,2,1,1,1,4,3,1,3,4,0,1,1,2,1,1,1,1011.03814314018000000000,1,2
7515,24,69,1-24-2017-069-04,4,1,2,1,22,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,4,1,1,1,1504.86804900456000000000,1,2
6488,25,4,1-25-2017-004-03,3,3,2,1,21,13,23,9998,99999999,6,99999999,3,2,2,0,0,0,0,0,0,0,0,3,0,1,1,3,1,1,1,239.20273709101100000000,2,2
7691,25,23,1-25-2017-023-04,4,2,2,1,21,4,4,2009,E9LC72P,2,06/18/2011,2,1,2,2,1,1,1,2,3,2,1,0,0,1,1,3,1,1,1,1092.08885834505000000000,2,2
7691,25,23,1-25-2017-023-04,4,2,3,2,23,98,98,9998,99999999,6,99999999,3,2,2,0,0,0,0,1,0,0,0,0,0,1,1,5,1,1,1,1092.08885834505000000000,2,2
8352,25,41,1-25-2017-041-10,10,2,3,3,21,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2532.22076355816000000000,2,2
8904,25,51,1-25-2017-051-09,9,1,2,1,22,98,98,9998,99999999,99,99999999,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2248.17585176391000000000,2,2
6972,26,26,1-26-2017-026-03,3,3,3,1,23,6,6,1009,99999999,1,99999999,1,2,1,2,1,0,1,3,0,1,1,1,0,1,1,9,1,1,9,255.55207987794600000000,10,2
7117,26,30,1-26-2017-030-06,6,1,4,1,23,15,26,6033,0304003GNT,6,09/24/2015,3,1,2,0,0,0,0,0,0,0,0,0,0,1,1,2,1,9,9,1237.10755325357000000000,10,2
7166,26,31,1-26-2017-031-03,3,2,3,1,21,98,98,9998,99999999,99,99999999,2,2,2,2,0,0,0,5,1,9,9,3,0,1,1,1,1,0,1,2528.04462840884000000000,10,2
7166,26,31,1-26-2017-031-03,3,2,4,2,22,98,98,9998,99999999,99,99999999,2,2,2,2,9,9,9,5,9,1,3,3,9,1,9,1,3,0,1,2528.04462840884000000000,10,2
7166,26,31,1-26-2017-031-03,3,2,5,3,23,98,98,9998,99999999,3,99999999,2,2,2,2,0,0,0,5,9,0,0,3,0,1,9,1,1,0,1,2528.04462840884000000000,10,2
8070,26,57,1-26-2017-057-09,9,1,2,3,21,12,19,2028,37121429,2,02/24/2016,2,3,2,2,1,1,1,2,3,2,3,9,0,1,1,4,3,1,1,4415.53740160924000000000,10,2
