CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EQUIP,AVAIL,ACTIVATE,CASEWGT,PSUSTRAT,VERSION
6745,10,20,1-10-2017-020-03,3,1,15,0,8,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,1,16,0,8,405.61022897248400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,2,0,8,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,3,0,8,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,13,0,8,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,14,0,8,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,15,0,8,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,16,0,8,561.98968046806400000000,4,2
7155,10,27,1-10-2017-027-03,3,2,2,1,9,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,3,0,8,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,13,0,8,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,14,0,8,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,15,0,8,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,16,0,8,622.14352093650500000000,4,2
7202,10,28,1-10-2017-028-03,3,1,2,0,8,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,3,0,8,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,13,0,8,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,14,0,8,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,15,0,8,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,16,0,8,224.66131530031300000000,4,2
7295,10,30,1-10-2017-030-06,6,2,2,0,8,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,3,0,8,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,13,0,8,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,14,0,8,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,15,0,8,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,16,0,8,310.41777074870400000000,4,2
7345,10,31,1-10-2017-031-04,4,1,2,1,9,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,3,0,8,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,13,0,8,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,14,0,8,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,15,0,8,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,16,0,8,1650.22234645847000000000,4,2
7414,10,32,1-10-2017-032-05,5,2,2,1,9,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,3,0,8,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,13,0,8,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,14,0,8,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,15,0,8,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,16,0,8,62.63225049926320000000,4,2
7587,10,34,1-10-2017-034-07,7,1,2,0,8,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,3,0,8,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,13,0,8,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,14,0,8,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,15,0,8,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,16,0,8,424.43280550159400000000,4,2
7652,10,35,1-10-2017-035-05,5,1,2,1,9,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,1,3,0,8,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,1,13,0,8,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,1,14,0,8,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,1,15,0,8,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,1,16,0,8,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,2,2,1,9,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,2,3,0,8,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,2,13,0,8,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,2,14,0,8,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,2,15,0,8,46.58601633291680000000,4,2
