CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,INTRUNO,INTCOMP,INTRUSION,INTMAG,INTDIRECT,CASEWGT,PSUSTRAT,VERSION,SEATLOC
6949,10,24,1-10-2017-024-08,8,1,36,6,999,3,1,337.45189273763100000000,4,2,21
6949,10,24,1-10-2017-024-08,8,1,37,13,999,3,3,337.45189273763100000000,4,2,23
7252,10,29,1-10-2017-029-05,5,1,1,3,4,1,2,50.22440395887630000000,4,2,12
7252,10,29,1-10-2017-029-05,5,2,1,15,3,1,3,50.22440395887630000000,4,2,11
7252,10,29,1-10-2017-029-05,5,2,2,6,999,1,3,50.22440395887630000000,4,2,11
7587,10,34,1-10-2017-034-07,7,1,1,7,4,1,2,424.43280550159400000000,4,2,11
7587,10,34,1-10-2017-034-07,7,1,2,2,5,1,2,424.43280550159400000000,4,2,11
7587,10,34,1-10-2017-034-07,7,1,3,5,4,1,2,424.43280550159400000000,4,2,11
7652,10,35,1-10-2017-035-05,5,1,1,17,1,0,2,46.58601633291680000000,4,2,21
7703,10,36,1-10-2017-036-08,8,1,1,2,4,1,2,120.86531935691100000000,4,2,11
7759,10,37,1-10-2017-037-05,5,1,1,9,999,5,3,41.58524342044350000000,4,2,13
7759,10,37,1-10-2017-037-05,5,1,2,17,999,5,3,41.58524342044350000000,4,2,13
7759,10,37,1-10-2017-037-05,5,1,3,24,999,4,3,41.58524342044350000000,4,2,13
7759,10,37,1-10-2017-037-05,5,1,4,19,999,5,1,41.58524342044350000000,4,2,12
7759,10,37,1-10-2017-037-05,5,1,5,7,999,5,3,41.58524342044350000000,4,2,13
7759,10,37,1-10-2017-037-05,5,1,6,8,999,5,3,41.58524342044350000000,4,2,13
7759,10,37,1-10-2017-037-05,5,1,7,24,999,3,3,41.58524342044350000000,4,2,11
7759,10,37,1-10-2017-037-05,5,1,8,20,999,3,3,41.58524342044350000000,4,2,13
7759,10,37,1-10-2017-037-05,5,1,9,20,999,3,3,41.58524342044350000000,4,2,23
7759,10,37,1-10-2017-037-05,5,2,1,19,14,2,1,41.58524342044350000000,4,2,12
7759,10,37,1-10-2017-037-05,5,2,2,5,23,3,2,41.58524342044350000000,4,2,11
7759,10,37,1-10-2017-037-05,5,2,3,2,9,2,2,41.58524342044350000000,4,2,11
7759,10,37,1-10-2017-037-05,5,2,4,7,3,1,2,41.58524342044350000000,4,2,11
