CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
6627,10,17,1-10-2017-017-03,3,1,RR,133,PS830,P185/65R15,5W5U,4,0,1,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,LF,65,touring,P225/50R18,8OFH DT454914,6,0,1,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,LR,70,Eagle LS,P225/50R18,M63H BUDR4607,3,0,1,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,RF,70,Eagle LS,P225/50R18,M634 BHER1711,4,0,1,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,RR,70,Eagle LS,P225/50R18,M63H BHER2812,4,0,1,176.57362428059200000000,4,2
6628,10,18,1-10-2017-018-04,4,2,LF,76,Kinergy GT,P205/65R16,9999999999999,6,0,1,602.83113887967900000000,4,2
6628,10,18,1-10-2017-018-04,4,2,LR,76,Kinergy GT,P205/65R16,9999999999999,6,0,1,602.83113887967900000000,4,2
6628,10,18,1-10-2017-018-04,4,2,RF,76,Kinergy GT,P205/65R16,9999999999999,6,0,1,602.83113887967900000000,4,2
6628,10,18,1-10-2017-018-04,4,2,RR,76,Kinergy GT,P205/65R16,9999999999999,6,0,1,602.83113887967900000000,4,2
6707,10,19,1-10-2017-019-02,2,1,LF,129,Pzero,P245/45R20,N9KD J917,4,0,1,62.26969384391000000000,4,2
6707,10,19,1-10-2017-019-02,2,1,LR,129,PZero,P275/40R20,H9T5 J916,1,0,1,62.26969384391000000000,4,2
6707,10,19,1-10-2017-019-02,2,1,RF,999,Unknown,UNKNOWN,9999999999999,99,9,9,62.26969384391000000000,4,2
6707,10,19,1-10-2017-019-02,2,1,RR,129,Pzero,P275/40R20,N9TS J916,1,0,1,62.26969384391000000000,4,2
6745,10,20,1-10-2017-020-03,3,1,LF,28,contippo,P215/55R16,LNB3 WPBC1813,6,0,1,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,1,LR,28,contipro,P215/55R16,CNB3 WPBC1813,6,0,1,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,1,RF,156,tour plus,P215/55R16,R80  3MMR3115,7,1,1,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,1,RR,28,contippo,P215/55R16,CNB3 WPB31813,7,0,1,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,2,LF,133,Valera Touring,P205/65R15,5WRE 00A 1115,6,0,1,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,2,LR,133,PS 830,P205/65R15,5W7H,7,0,1,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,2,RF,133,Valera Touring,P205/65R15,5WRE 00A 1115,7,0,1,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,2,RR,133,PS830,P205/65R15,Y9KL D8HX3313,6,0,1,405.61022897248400000000,4,2
6775,10,21,1-10-2017-021-10,10,1,LF,167,Extensa HP,P235/40R18,73LL,6,0,1,3689.55001336570000000000,4,2
6775,10,21,1-10-2017-021-10,10,1,LR,116,NT555,P235/40R18,CXLL,2,0,1,3689.55001336570000000000,4,2
6775,10,21,1-10-2017-021-10,10,1,RF,167,Extensa HP,P235/40R18,73LL HKW 4115,6,0,1,3689.55001336570000000000,4,2
6775,10,21,1-10-2017-021-10,10,1,RR,116,NT555,P235/40R18,CXLL,0,0,1,3689.55001336570000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,LF,103,Defender,P275/55R20,B99Y 005X0417,9,0,1,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,LR,103,Defender,P275/55R20,B79Y 008X0417,10,0,1,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,RF,103,Defender,P275/55R20,B99Y 005Y0417,9,0,1,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,RR,103,Defender,P275/55R20,B79Y 008X0417,9,0,1,2737.61734606746000000000,4,2
6892,10,23,1-10-2017-023-09,9,1,LF,59,affinity touring,P215/65R16,W26V A1A,5,0,1,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,1,LR,59,affinity touring,P215/65R16,W26V A1A 0608,6,0,1,2672.59333238203000000000,4,2
