CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VIN,VINLENGTH,MAKE,MODEL,MODELYR,BODYTYPE,BODYCAT,VEHCLASS,SPECUSE,TRANSTAT,DAMPLANE,DAMSEV,CURBWT,CURBSRC,CARGOWT,CARGOSRC,INSPTYPE,TOWSTAT,SPEEDLIMIT,DRPRESENT,PARALCOHOL,ALCTEST,ALCTESTRESULT,ALCTESTSRC,PARDRUG,DRUGTEST,ZIP,RACE,ETHNICITY,RELTOJUNCT,TRAFFLOW,RDLANES,INITLANE,SURFTYPE,SURFCOND,ALIGNMENT,PROFILE,LINERIGHT,LINELEFT,RUMBINIT,RUMBROAD,LIGHTCOND,WEATHER,TRAFDEV,TRAFFUNCT,DISTRACT,PREFHE,PREMOVE,CRITCAT,CRITEVENT,MANEUVER,PRESTAB,PRELOC,CRASHCAT,CRASHCONF,CRASHTYPE,ROLLTYPE,ROLLTURN,ROLLINTRPT,ROLLPREMAN,ROLLINITYP,ROLLINLOC,ROLLOBJ,ROLLTRIP,ROLLDIR,ROLLDIST,DVANGTHIS,DVANGOTH,TOWHITCH,TRAJDOC,TREEPOLE,DVEVENT,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBES,DVEST,DVCONF,VAIS,VISS,VINJURED,VTREAT,INITOBJCLASS,HEADANGLECAT,CASEWGT,PSUSTRAT,VERSION
6427,10,8,1-10-2017-008-09,9,2,1N4DL01D11C1,17,35,47,2001,4,1,2,0,1,B,9,1300,5,9999,9,0,0,64,1,0,0,995,0,0,0,45404,9,9,2,4,2,1,2,1,1,1,1,3,0,0,1,8,2,2,9,1,10,3,53,99,1,1,2,D,25,0,0,0,0,0,0,0,0,0,0,270,265,0,0,0,0,0,999,999,999,9999999,999,999,999,9,0,95,95,95,95,0,995,290.76562003739600000000,4,2
6428,10,9,1-10-2017-009-09,9,1,WBXPA93426WD,17,34,402,2006,14,3,14,0,1,L,2,1815,5,9999,9,0,1,56,1,0,0,995,0,0,0,45417,9,9,2,4,2,1,2,1,1,1,0,0,0,0,1,1,2,2,9,0,11,2,15,1,1,1,4,K,82,0,0,0,0,0,0,0,0,0,0,155,260,0,0,0,1,3,34,-22,26,123188,998,-59,38,0,4,99,99,0,99,0,995,290.76562003739600000000,4,2
6428,10,9,1-10-2017-009-09,9,2,2G4WF5215X14,17,18,20,1999,4,1,3,0,1,F,2,1562,5,9999,9,1,1,56,1,0,0,995,0,0,0,45417,9,9,2,5,5,2,2,1,1,1,3,4,0,0,1,1,0,0,1,0,1,4,67,99,1,1,4,K,83,0,0,0,0,0,0,0,0,0,0,260,155,0,0,0,1,3,38,-35,-13,98590,998,-85,34,0,4,9,97,0,8,0,995,290.76562003739600000000,4,2
6481,10,10,1-10-2017-010-02,2,1,1G1JC5SH3C41,17,20,28,2012,5,1,2,0,1,B,9,1220,5,9999,9,0,0,105,1,0,0,995,0,7,0,45315,9,9,0,2,3,3,2,1,1,9,3,2,0,0,4,8,0,0,1,0,2,3,52,1,1,1,6,M,98,0,0,0,0,0,0,0,0,0,0,180,180,0,0,0,0,0,999,999,999,9999999,999,999,999,9,0,95,95,95,95,0,995,26.24421400370510000000,4,2
6481,10,10,1-10-2017-010-02,2,2,1FTFW1ET6CFA,17,12,481,2012,34,5,31,0,1,R,9,2408,9,9999,9,0,1,105,1,0,0,995,0,0,0,45315,9,9,0,2,3,3,2,1,1,9,3,2,0,0,4,8,0,0,1,0,1,3,52,1,1,1,6,M,98,0,0,0,0,0,0,0,0,0,0,180,180,0,0,0,0,0,999,999,999,9999999,999,999,999,9,0,9,97,0,8,0,995,26.24421400370510000000,4,2
6481,10,10,1-10-2017-010-02,2,3,1FADP3K23EL4,17,12,37,2014,5,1,2,0,1,B,9,1340,5,9999,9,0,1,105,1,0,0,995,0,0,0,45373,9,9,0,2,3,3,2,1,1,9,3,2,0,0,4,8,0,0,1,0,2,3,52,1,1,1,6,M,98,0,0,0,0,0,0,0,0,0,0,180,180,0,0,0,0,0,999,999,999,9999999,999,999,999,9,0,99,99,0,8,0,995,26.24421400370510000000,4,2
6481,10,10,1-10-2017-010-02,2,4,999999999999,99,12,481,2016,39,5,39,0,1,B,9,9999,9,9999,9,0,1,105,1,0,0,995,0,0,0,64153,9,9,0,2,3,3,2,1,1,9,3,2,0,0,4,8,0,0,1,0,2,3,52,99,1,1,2,D,29,0,0,0,0,0,0,0,0,0,0,180,180,0,0,0,0,0,999,999,999,9999999,999,999,999,9,0,99,99,0,0,0,995,26.24421400370510000000,4,2
6481,10,10,1-10-2017-010-02,2,5,1XP5DB9X64D8,17,87,890,2004,66,8,68,0,1,F,9,,,,,,1,105,1,0,0,995,0,0,0,43342,9,9,0,2,3,3,2,1,1,9,3,2,0,0,4,8,0,0,1,0,1,3,52,99,1,1,2,D,28,,,,,,,,,,,,,,,,,,,,,,,,,,,95,95,95,95,,,26.24421400370510000000,4,2
6482,10,11,1-10-2017-011-03,3,1,1FA6P8AM2G52,17,12,3,2016,2,1,3,0,1,F,1,1598,5,0,1,1,1,89,1,0,0,995,0,0,0,45404,7,2,1,2,3,2,2,2,3,2,3,3,0,3,3,2,0,0,1,1,14,1,6,1,2,4,1,A,2,0,0,0,0,0,0,0,0,0,0,998,998,0,0,0,1,1,12,-12,0,11118,998,69,12,0,4,0,0,0,4,0,998,157.31295499839300000000,4,2
6561,10,13,1-10-2017-013-08,8,1,1FAFP44441F2,17,12,3,2001,1,1,2,0,1,F,9,1456,5,9999,9,0,1,56,1,0,0,995,0,0,0,45331,9,9,2,4,5,1,2,2,1,1,0,1,0,0,3,2,1,2,9,0,1,2,17,1,1,1,5,L,86,0,0,0,0,0,0,0,0,0,0,260,350,0,0,0,1,0,999,999,999,9999999,999,999,999,9,0,9,97,0,8,0,995,156.18732584159300000000,4,2
