CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,DISTRACTN,CASEWGT,PSUSTRAT,VERSION
6625,32,23,1-32-2017-023-03,3,1,10,1645.37305184942000000000,7,2
6669,32,25,1-32-2017-025-03,3,1,99,1843.81501469920000000000,7,2
6708,32,27,1-32-2017-027-03,3,1,7,1513.61702994703000000000,7,2
6847,32,35,1-32-2017-035-01,1,1,99,396.69383927176600000000,7,2
6861,32,37,1-32-2017-037-06,6,1,9,3184.70696791482000000000,7,2
7053,32,48,1-32-2017-048-03,3,1,6,841.13676141476200000000,7,2
7206,32,61,1-32-2017-061-06,6,1,8,1502.03202596143000000000,7,2
7299,32,69,1-32-2017-069-03,3,1,1,678.98210436141800000000,7,2
7688,32,85,1-32-2017-085-04,4,3,99,2596.33618288292000000000,7,2
7763,32,92,1-32-2017-092-02,2,1,3,53.72181073921810000000,7,2
7917,32,100,1-32-2017-100-06,6,1,9,1559.46989103299000000000,7,2
7980,32,105,1-32-2017-105-07,7,1,1,1697.99965014925000000000,7,2
8196,32,118,1-32-2017-118-03,3,1,9,1013.05107228539000000000,7,2
8603,32,139,1-32-2017-139-02,2,2,8,38.45161941560810000000,7,2
8759,32,144,1-32-2017-144-02,2,1,9,67.87029426425760000000,7,2
8890,32,152,1-32-2017-152-01,1,1,8,174.50197157516000000000,7,2
6204,33,3,1-33-2017-003-09,9,1,3,564.25427730658900000000,12,2
6323,33,7,1-33-2017-007-09,9,1,1,766.82271062251600000000,12,2
6452,33,15,1-33-2017-015-03,3,1,10,138.48070582858400000000,12,2
6511,33,17,1-33-2017-017-03,3,1,10,246.40866005281400000000,12,2
6593,33,20,1-33-2017-020-03,3,1,10,100.55935913971500000000,12,2
6603,33,22,1-33-2017-022-09,9,1,1,475.44710183112800000000,12,2
6643,33,23,1-33-2017-023-06,6,1,9,151.55835338118000000000,12,2
6836,33,34,1-33-2017-034-08,8,1,3,217.88413356587100000000,12,2
6963,33,39,1-33-2017-039-09,9,1,6,981.05616241570300000000,12,2
7083,33,47,1-33-2017-047-07,7,2,99,203.44703067326400000000,12,2
7175,33,53,1-33-2017-053-06,6,1,1,66.45751307937520000000,12,2
7229,33,56,1-33-2017-056-09,9,1,9,1421.64094329572000000000,12,2
7278,33,57,1-33-2017-057-07,7,1,1,725.14775438436100000000,12,2
7325,33,61,1-33-2017-061-09,9,1,7,75.33072173265770000000,12,2
7386,33,65,1-33-2017-065-09,9,1,99,231.34839188833400000000,12,2
7603,33,71,1-33-2017-071-10,10,1,2,339.78888249181600000000,12,2
7734,33,78,1-33-2017-078-09,9,1,1,264.57105160770200000000,12,2
7792,33,80,1-33-2017-080-08,8,1,2,147.86063408622700000000,12,2
7853,33,82,1-33-2017-082-06,6,1,1,163.69251044748400000000,12,2
8278,33,104,1-33-2017-104-02,2,1,2,66.33530947609500000000,12,2
8370,33,108,1-33-2017-108-04,4,1,8,187.58184910063200000000,12,2
8380,33,109,1-33-2017-109-03,3,1,9,65.87271339701280000000,12,2
8872,33,129,1-33-2017-129-04,4,1,10,65.00909359072760000000,12,2
8873,33,130,1-33-2017-130-04,4,1,10,65.00909359072760000000,12,2
8958,33,131,1-33-2017-131-03,3,3,9,64.53383207366660000000,12,2
