CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EVENTNO,OBJCONT,PDOF,OCLOCK,ENDSHIFT,OVERUNDER,HEADINGANG,CDC,CDCPLANE,CDCLONGLAT,CDCVERTLAT,CDCDISTRIB,CDCEXTENT,DAMAPILLAR,DAMBPILLAR,DAMCPILLAR,DAMOTHPILLAR,SILLHEIGHT,CMAXHEIGHT,DOORSILLDIFF,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBARRIER,DVESTIMATE,DVRANK,DIRECTLOCATION,FIELDLLOCATION,CMAXLOCATION,FIELDL,FIELDLD,DIRECTL,DIRECTD,DIRECTWIDTH,CMAX,C1,C2,C3,C4,C5,C6,ROLLLAT,ROLLVERT,CASEWGT,PSUSTRAT,VERSION
7295,10,30,1-10-2017-030-06,6,2,1,1,350,12,0,0,240,12FDEW01,F,D,E,W,01,8,8,8,8,888,888,888,1,9,-9,2,20889,998,93,12,0,1,front left bumper corner extends 68 cms towards fcp,front bumper corner to bumper corner,front bumper 51 cms from fcp towards drivers side,165,0,165,52,68,9,9,0,9,7,0,0,,,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,3,68,0,12,0,0,888,12UD9901,U,D,9,9,01,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,6,8,fbc to fbc,fbc to fbc,59 cms fcp towards passenger side,165,0,165,0,165,999,999,999,999,999,999,999,,,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,4,68,0,12,0,0,888,12FCMN01,F,C,M,N,01,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,6,2,front bumper starts 7 cms from fcp towards passenger side,front bumper corner to front bumper corner,14 cms from fcp towards toward passenger side,165,0,165,-22,29,999,999,999,999,999,999,999,,,310.41777074870400000000,4,2
7345,10,31,1-10-2017-031-04,4,1,1,2,350,12,0,0,350,12FLEE06,F,L,E,E,06,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,14,0,1,begins 67cm LOC extending left,right front bumper corner to left front bumper corner,LFBC,160,0,160,-75,13,7,7,0,0,0,1,3,,,1650.22234645847000000000,4,2
7414,10,32,1-10-2017-032-05,5,2,1,1,40,1,0,0,90,01FREN09,F,R,E,N,09,8,8,8,8,888,888,888,3,10,-8,-6,9657,998,-74,12,0,1,fb starts 42 cms from fcp,fbc to fbc,12 cms from rbc,144,0,144,57,30,6,3,0,0,0,0,6,,,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,2,3,0,12,0,0,90,12LZMS01,L,Z,M,S,01,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,6,2,32 cms aft of LRA,32 cms aft of LRA,11 cms forward LRA,72,-122,72,-122,72,3,0,0,3,0,1,2,,,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,3,2,2,0,12,0,0,888,12RZES01,R,Z,E,S,01,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,6,1,rs starts 22 cms aft of rr hub,rs starts 30 cms aft of rr hub,rs 20 cms rear rr hub,84,-133,84,-133,77,999,999,999,999,999,999,999,,,62.63225049926320000000,4,2
7514,10,33,1-10-2017-033-10,10,1,1,2,0,12,0,0,280,12FDMW01,F,D,M,W,01,8,8,8,8,888,888,888,3,17,-17,0,13741,998,-19,16,0,1,front bumper starts 20 cms from fcp towards drivers side,fbc to fbc,22 cms from fcp towards drivers sidetowards,152,0,152,-19,77,6,2,5,6,3,0,2,,,2415.69467836758000000000,4,2
7587,10,34,1-10-2017-034-07,7,1,1,42,0,12,0,0,888,12FLEE01,F,L,E,E,01,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,7,2,fbc,fbc to fbc,fbc,160,999,160,999,999,999,999,999,999,999,999,999,,,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,2,68,340,11,0,0,888,11FDEW02,F,D,E,W,02,8,8,8,8,888,888,888,1,32,-30,11,77307,998,74,32,0,1,fbc to fbc,fbc to fbc,11 cms from fcp towards assenger side,160,0,160,1,120,27,9,15,24,27,18,11,,,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,3,42,90,3,0,0,888,03BDES01,B,D,E,S,01,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,6,8,starts @ c1,rbc to rbc,39 cms from rcp towards drivers side,160,0,160,9,138,1,1,0,0,0,0,0,,,424.43280550159400000000,4,2
7652,10,35,1-10-2017-035-05,5,1,1,2,250,8,0,0,130,08LZEW01,L,Z,E,W,01,0,1,1,1,26,45,10,1,12,4,11,5300,998,-93,8,0,1,"begins 149cm aft of left front axle, goes back","begins 149cm aft of left front axle, goes back",270cm aft of left front axle,146,-99,146,-99,146,6,0,4,0,4,2,6,,,46.58601633291680000000,4,2
