CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTTRACK,REARTRACK,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,CASEWGT,PSUSTRAT,VERSION
7979,10,41,1-10-2017-041-09,9,1,,,,,,,,,,,31,,,,116,,,,,,,,,,,,887,2538.152121,4,2
8068,10,42,1-10-2017-042-04,4,1,,,,,,,,,,,42,,,,105,,,,,,,,,,,,887,340.54286885,4,2
8068,10,42,1-10-2017-042-04,4,2,,,,,,,,,,,,37,,,,,,,,117,,,,,,,887,340.54286885,4,2
8181,10,44,1-10-2017-044-09,9,2,887,887,887,887,887,887,887,887,887,887,887,887,887,887,162,887,887,887,887,887,10,14,887,887,887,887,887,280.2955355,4,2
8204,10,45,1-10-2017-045-03,3,1,,,,,,,,,,,39,,,,90,,,,,,,,,,,,887,152.96440682,4,2
8413,10,49,1-10-2017-049-03,3,1,887,887,887,887,887,887,887,290,887,887,887,887,887,887,887,887,887,887,887,887,10,16,887,887,887,887,887,157.20339285,4,2
8477,10,50,1-10-2017-050-09,9,1,,,286,,,,,260,,,,,,,,,,,,,10,23,95,,,,887,203.90545678,4,2
8478,10,51,1-10-2017-051-04,4,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,139,887,887,887,887,887,887,887,887,887,887,887,887,116.73917318,4,2
8478,10,51,1-10-2017-051-04,4,2,,,,,,,,,,,28,39,,,120,,,95,,,,,,,,,887,116.73917318,4,2
8542,10,52,1-10-2017-052-06,6,1,,,,,,,,,,,54,,,,116,,,,,,,,,,,,887,186.43497383,4,2
8609,10,58,1-10-2017-058-09,9,1,,,,,,,,,,,,,,,133,,,,,,,,,,,,887,104.64509914,4,2
8776,10,61,1-10-2017-061-04,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,887,36.096656104,4,2
8776,10,61,1-10-2017-061-04,4,2,,,,,,,,,,,21,,,,100,,,,,,,,,,,,887,36.096656104,4,2
8786,10,63,1-10-2017-063-02,2,1,,,278,,,,,,,,,,,,,,,,,,,,,,,,887,22.461973621,4,2
8786,10,63,1-10-2017-063-02,2,2,,,,,,,,,,,,,,,120,,,,,,,,,,,,887,22.461973621,4,2
8787,10,64,1-10-2017-064-04,4,1,,,,,,,,,,,20,,,,114,,,,,,,,,,,,887,237.71564662,4,2
8788,10,65,1-10-2017-065-03,3,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,9,12,887,887,887,887,887,69.628641531,4,2
8851,10,66,1-10-2017-066-03,3,1,,,,,,,,,,,999,,,,122,,,,,,,,,,,,887,49.947185324,4,2
8851,10,66,1-10-2017-066-03,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,887,49.947185324,4,2
8852,10,67,1-10-2017-067-07,7,2,887,887,887,887,887,887,887,261,887,887,887,887,887,887,887,887,887,887,887,887,10,12,887,887,887,887,887,187.57866167,4,2
8927,10,68,1-10-2017-068-09,9,1,887,887,887,887,887,887,887,270,887,887,887,887,887,887,887,887,887,887,887,887,10,14,887,887,887,887,887,403.30917802,4,2
8927,10,68,1-10-2017-068-09,9,2,,,,,,,,,,,30,,,,118,,,,,,,,,,,,887,403.30917802,4,2
8928,10,69,1-10-2017-069-07,7,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,253.9969124,4,2
6400,11,2,1-11-2017-002-07,7,2,,,,,,,,,,,21,,,,116,,,,,,,,,,,,887,4629.6951136,8,2
6423,11,3,1-11-2017-003-03,3,1,,,,,,,,378,,,,52,,,,,,887,887,887,,,,,,,288,2276.0389828,8,2
6424,11,4,1-11-2017-004-03,3,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,116,887,887,887,887,887,887,887,887,887,887,887,887,2276.0389828,8,2
6424,11,4,1-11-2017-004-03,3,2,,,,,,,,,,,24,,,,110,,,56,,,,,,,,,887,2276.0389828,8,2
6491,11,6,1-11-2017-006-03,3,2,887,887,257,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,109,887,887,887,887,3733.0844266,8,2
6534,11,8,1-11-2017-008-03,3,1,,,,,,,,,,,18,,,,104,,,,,,,,,,,,887,672.05886567,8,2
6581,11,9,1-11-2017-009-08,8,2,,92,282,94,,,92,282,94,,,,166,166,115,,,19,38,,,,,,37,83,887,1502.318006,8,2
6619,11,11,1-11-2017-011-08,8,2,,,,,,,90,312,113,,,44,,,,,,887,887,887,,,,,,,202,613.01599627,8,2
6620,11,12,1-11-2017-012-08,8,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,122,887,887,887,887,613.01599627,8,2
6666,11,13,1-11-2017-013-05,5,1,,97,,,,,,,,,30,,,,101,,,,,,,,,,,,887,533.60897798,8,2
6667,11,14,1-11-2017-014-05,5,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,107,887,887,887,887,887,887,887,887,887,887,887,887,533.60897798,8,2
6667,11,14,1-11-2017-014-05,5,2,887,887,887,887,887,887,887,887,887,887,887,887,887,887,136,887,887,887,887,887,887,887,887,887,887,887,887,533.60897798,8,2
6705,11,15,1-11-2017-015-05,5,1,,100,273,110,,,100,273,110,,,,155,156,,,,,,,,,,,,,887,459.5632001,8,2
6705,11,15,1-11-2017-015-05,5,4,,100,280,114,,,,,,,,,,,126,,,,,,,,,,,,887,459.5632001,8,2
6706,11,16,1-11-2017-016-05,5,2,,100,289,100,,,100,289,100,,,,157,158,112,,,,,184,,,122,,41,87,887,459.5632001,8,2
6746,11,17,1-11-2017-017-01,1,1,,114,281,113,,,,,,,,,154,154,146,,,,,,,,,,39,,887,473.93014836,8,2
6809,11,18,1-11-2017-018-02,2,1,101,,343,124,,,101,343,124,,37,37,173,172,91,,,,,291,,,,,54,99,887,327.7223596,8,2
