CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,SEATLOC,SEATTYPE,ORIENTATION,TRACK,PERFORMANCE,INTRESTRAINT,HEADRESTYPE,HEADRESTDAM,HEADRESTACT,ROLLPROTECTION,BELTAVAILINSP,BELTUSEINSP,BELTMALFUNCTIONINSP,BELTANCHORINSP,BELTPRETENSIONINSP,BELTPOSDEVPRESINSP,BELTGUIDEINSP,SEATROW,LOCATION,CASEWGT,PSUSTRAT,VERSION
6561,10,13,1-10-2017-013-08,8,2,13,,,,,,,,,,,,,,,,,1,3,156.18732584159300000000,4,2
6561,10,13,1-10-2017-013-08,8,2,21,,,,,,,,,,,,,,,,,2,1,156.18732584159300000000,4,2
6561,10,13,1-10-2017-013-08,8,2,22,,,,,,,,,,,,,,,,,2,2,156.18732584159300000000,4,2
6561,10,13,1-10-2017-013-08,8,2,23,,,,,,,,,,,,,,,,,2,3,156.18732584159300000000,4,2
6563,10,14,1-10-2017-014-05,5,1,11,1,1,2,1,1,3,2,1,1,4,4,1,5,1,0,0,1,1,32.23828227143420000000,4,2
6563,10,14,1-10-2017-014-05,5,1,13,,,,,,,,,,,,,,,,,1,3,32.23828227143420000000,4,2
6563,10,14,1-10-2017-014-05,5,1,21,,,,,,,,,,,,,,,,,2,1,32.23828227143420000000,4,2
6563,10,14,1-10-2017-014-05,5,1,22,,,,,,,,,,,,,,,,,2,2,32.23828227143420000000,4,2
6563,10,14,1-10-2017-014-05,5,1,23,,,,,,,,,,,,,,,,,2,3,32.23828227143420000000,4,2
6572,10,15,1-10-2017-015-03,3,1,11,99,9,9,99,9,99,9,9,1,,,,,,,,1,1,207.98057627128100000000,4,2
6572,10,15,1-10-2017-015-03,3,1,13,99,9,9,99,9,99,9,9,1,,,,,,,,1,3,207.98057627128100000000,4,2
6572,10,15,1-10-2017-015-03,3,2,11,99,9,9,99,9,99,9,9,1,,,,,,,,1,1,207.98057627128100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,11,1,1,2,1,1,3,2,1,1,4,4,1,4,4,0,0,1,1,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,13,,,,,,,,,,,,,,,,,1,3,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,21,,,,,,,,,,,,,,,,,2,1,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,22,,,,,,,,,,,,,,,,,2,2,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,23,,,,,,,,,,,,,,,,,2,3,207.98057628129100000000,4,2
6627,10,17,1-10-2017-017-03,3,1,11,1,1,2,1,1,3,2,1,1,4,4,1,4,1,0,0,1,1,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,1,13,,,,,,,,,,,,,,,,,1,3,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,1,21,,,,,,,,,,,,,,,,,2,1,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,1,22,,,,,,,,,,,,,,,,,2,2,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,1,23,4,1,1,1,1,3,2,1,1,4,14,1,1,0,0,0,2,3,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,11,1,1,4,1,1,3,2,1,1,4,4,1,2,2,0,0,1,1,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,13,,,,,,,,,,,,,,,,,1,3,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,21,4,1,1,1,1,2,2,1,1,4,14,1,1,0,0,0,2,1,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,22,4,1,1,1,1,1,1,1,1,4,4,1,1,0,0,0,2,2,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,23,4,1,1,1,1,2,2,1,1,4,14,1,1,0,0,0,2,3,176.57362428059200000000,4,2
6628,10,18,1-10-2017-018-04,4,3,11,99,9,9,99,9,99,9,9,1,,,,,,,,1,1,602.83113887967900000000,4,2
6628,10,18,1-10-2017-018-04,4,3,13,99,9,9,99,9,99,9,9,1,,,,,,,,1,3,602.83113887967900000000,4,2
6707,10,19,1-10-2017-019-02,2,1,11,2,1,6,1,1,3,2,1,1,4,0,1,1,4,1,1,1,1,62.26969384391000000000,4,2
6707,10,19,1-10-2017-019-02,2,1,13,,,,,,,,,,,,,,,,,1,3,62.26969384391000000000,4,2
6707,10,19,1-10-2017-019-02,2,1,21,,,,,,,,,,,,,,,,,2,1,62.26969384391000000000,4,2
6707,10,19,1-10-2017-019-02,2,1,23,,,,,,,,,,,,,,,,,2,3,62.26969384391000000000,4,2
6745,10,20,1-10-2017-020-03,3,1,11,1,1,3,1,1,3,2,1,1,4,4,1,4,4,0,0,1,1,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,1,13,,,,,,,,,,,,,,,,,1,3,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,1,21,,,,,,,,,,,,,,,,,2,1,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,1,22,,,,,,,,,,,,,,,,,2,2,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,1,23,,,,,,,,,,,,,,,,,2,3,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,2,11,1,1,3,1,1,3,2,1,1,4,4,1,4,1,0,0,1,1,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,2,13,1,1,4,1,1,3,2,1,1,4,0,0,3,1,0,0,1,3,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,2,21,,,,,,,,,,,,,,,,,2,1,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,2,22,,,,,,,,,,,,,,,,,2,2,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,2,23,,,,,,,,,,,,,,,,,2,3,405.61022897248400000000,4,2
6775,10,21,1-10-2017-021-10,10,1,11,2,1,5,1,1,3,2,1,1,4,4,1,4,1,0,0,1,1,3689.55001336570000000000,4,2
6775,10,21,1-10-2017-021-10,10,1,13,,,,,,,,,,,,,,,,,1,3,3689.55001336570000000000,4,2
6775,10,21,1-10-2017-021-10,10,1,21,,,,,,,,,,,,,,,,,2,1,3689.55001336570000000000,4,2
6775,10,21,1-10-2017-021-10,10,1,23,,,,,,,,,,,,,,,,,2,3,3689.55001336570000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,11,1,1,3,1,1,3,2,1,1,4,0,1,1,2,0,0,1,1,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,13,,,,,,,,,,,,,,,,,1,3,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,21,,,,,,,,,,,,,,,,,2,1,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,22,,,,,,,,,,,,,,,,,2,2,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,23,,,,,,,,,,,,,,,,,2,3,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,31,,,,,,,,,,,,,,,,,3,1,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,32,,,,,,,,,,,,,,,,,3,2,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,33,,,,,,,,,,,,,,,,,3,3,2737.61734606746000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,11,2,1,3,1,1,3,2,1,1,4,4,1,1,0,1,1,1,1,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,13,2,1,6,1,1,3,2,1,1,4,4,1,1,0,1,1,1,3,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,21,,,,,,,,,,,,,,,,,2,1,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,22,,,,,,,,,,,,,,,,,2,2,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,23,,,,,,,,,,,,,,,,,2,3,2672.59333238203000000000,4,2
6949,10,24,1-10-2017-024-08,8,1,11,1,1,9,4,1,3,2,1,1,4,0,1,2,2,0,0,1,1,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,13,,,,,,,,,,,,,,,,,1,3,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,21,,,,,,,,,,,,,,,,,2,1,337.45189273763100000000,4,2
