CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,SEATLOC,CASEWGT,PSUSTRAT,VERSION
6573,10,16,1-10-2017-016-03,3,1,8,13,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,4,21,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,9,21,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,3,23,207.98057628129100000000,4,2
6573,10,16,1-10-2017-016-03,3,1,10,23,207.98057628129100000000,4,2
6627,10,17,1-10-2017-017-03,3,1,1,11,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,1,3,11,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,1,2,13,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,1,4,13,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,1,11,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,2,11,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,3,11,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,4,13,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,5,13,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,6,13,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,2,21,176.57362428059200000000,4,2
6627,10,17,1-10-2017-017-03,3,2,5,23,176.57362428059200000000,4,2
6707,10,19,1-10-2017-019-02,2,1,1,11,62.26969384391000000000,4,2
6707,10,19,1-10-2017-019-02,2,1,3,11,62.26969384391000000000,4,2
6707,10,19,1-10-2017-019-02,2,1,5,11,62.26969384391000000000,4,2
6707,10,19,1-10-2017-019-02,2,1,2,13,62.26969384391000000000,4,2
6707,10,19,1-10-2017-019-02,2,1,4,13,62.26969384391000000000,4,2
6707,10,19,1-10-2017-019-02,2,1,6,13,62.26969384391000000000,4,2
6707,10,19,1-10-2017-019-02,2,1,5,21,62.26969384391000000000,4,2
6707,10,19,1-10-2017-019-02,2,1,6,23,62.26969384391000000000,4,2
6745,10,20,1-10-2017-020-03,3,1,1,11,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,1,3,11,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,1,5,11,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,1,7,11,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,1,2,13,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,1,4,13,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,1,6,13,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,1,5,21,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,1,6,23,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,2,1,11,405.61022897248400000000,4,2
6745,10,20,1-10-2017-020-03,3,2,2,13,405.61022897248400000000,4,2
6775,10,21,1-10-2017-021-10,10,1,1,11,3689.55001336570000000000,4,2
6775,10,21,1-10-2017-021-10,10,1,2,13,3689.55001336570000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,1,11,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,2,11,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,3,13,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,4,13,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,2,21,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,4,23,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,2,31,2737.61734606746000000000,4,2
6869,10,22,1-10-2017-022-07,7,1,4,33,2737.61734606746000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,1,11,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,2,13,2672.59333238203000000000,4,2
6949,10,24,1-10-2017-024-08,8,1,1,11,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,2,11,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,3,13,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,4,13,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,2,21,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,4,23,337.45189273763100000000,4,2
7009,10,25,1-10-2017-025-04,4,1,1,11,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,2,11,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,4,11,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,3,13,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,5,13,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,6,13,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,4,21,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,6,23,561.98968046806400000000,4,2
7051,10,26,1-10-2017-026-07,7,1,1,11,1480.51162484181000000000,4,2
7051,10,26,1-10-2017-026-07,7,1,3,11,1480.51162484181000000000,4,2
7051,10,26,1-10-2017-026-07,7,1,2,13,1480.51162484181000000000,4,2
7051,10,26,1-10-2017-026-07,7,1,4,13,1480.51162484181000000000,4,2
7155,10,27,1-10-2017-027-03,3,1,1,11,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,1,11,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,2,11,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,3,11,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,6,11,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,4,13,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,5,13,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,7,13,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,3,21,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,5,23,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,3,31,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,5,33,622.14352093650500000000,4,2
7202,10,28,1-10-2017-028-03,3,1,1,11,224.66131530031300000000,4,2
