CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,DAMAGE,CASEWGT,PSUSTRAT,VERSION
6892,10,23,1-10-2017-023-09,9,1,LR,0,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,1,RF,0,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,1,RR,0,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,LF,0,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,LR,0,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,RF,0,2672.59333238203000000000,4,2
6892,10,23,1-10-2017-023-09,9,2,RR,0,2672.59333238203000000000,4,2
6949,10,24,1-10-2017-024-08,8,1,LF,7,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,LR,0,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,RF,7,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,RF,5,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,RF,3,337.45189273763100000000,4,2
6949,10,24,1-10-2017-024-08,8,1,RR,0,337.45189273763100000000,4,2
7009,10,25,1-10-2017-025-04,4,1,LF,0,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,LR,0,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,RF,0,561.98968046806400000000,4,2
7009,10,25,1-10-2017-025-04,4,1,RR,0,561.98968046806400000000,4,2
7051,10,26,1-10-2017-026-07,7,1,LF,0,1480.51162484181000000000,4,2
7051,10,26,1-10-2017-026-07,7,1,LR,0,1480.51162484181000000000,4,2
7051,10,26,1-10-2017-026-07,7,1,RF,0,1480.51162484181000000000,4,2
7051,10,26,1-10-2017-026-07,7,1,RR,0,1480.51162484181000000000,4,2
7155,10,27,1-10-2017-027-03,3,2,LF,0,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,LR,0,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,RF,0,622.14352093650500000000,4,2
7155,10,27,1-10-2017-027-03,3,2,RR,0,622.14352093650500000000,4,2
7202,10,28,1-10-2017-028-03,3,1,LF,0,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,LR,0,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,RF,7,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,RF,5,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,RF,3,224.66131530031300000000,4,2
7202,10,28,1-10-2017-028-03,3,1,RR,0,224.66131530031300000000,4,2
7252,10,29,1-10-2017-029-05,5,1,LF,0,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,1,LR,0,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,1,RF,0,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,1,RR,0,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,LF,0,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,LR,0,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,RF,0,50.22440395887630000000,4,2
7252,10,29,1-10-2017-029-05,5,2,RR,0,50.22440395887630000000,4,2
7295,10,30,1-10-2017-030-06,6,1,LF,0,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,1,LR,0,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,1,RF,0,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,1,RR,0,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,LF,0,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,LR,5,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,RF,0,310.41777074870400000000,4,2
7295,10,30,1-10-2017-030-06,6,2,RR,0,310.41777074870400000000,4,2
7345,10,31,1-10-2017-031-04,4,1,LF,7,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,LR,0,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,RF,0,1650.22234645847000000000,4,2
7345,10,31,1-10-2017-031-04,4,1,RR,0,1650.22234645847000000000,4,2
7414,10,32,1-10-2017-032-05,5,2,LF,0,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,LR,0,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,RF,0,62.63225049926320000000,4,2
7414,10,32,1-10-2017-032-05,5,2,RR,0,62.63225049926320000000,4,2
7514,10,33,1-10-2017-033-10,10,1,LF,0,2415.69467836758000000000,4,2
7514,10,33,1-10-2017-033-10,10,1,LR,0,2415.69467836758000000000,4,2
7514,10,33,1-10-2017-033-10,10,1,RF,0,2415.69467836758000000000,4,2
7514,10,33,1-10-2017-033-10,10,1,RR,0,2415.69467836758000000000,4,2
7587,10,34,1-10-2017-034-07,7,1,LF,7,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,LF,1,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,LR,0,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,RF,7,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,RF,5,424.43280550159400000000,4,2
7587,10,34,1-10-2017-034-07,7,1,RR,0,424.43280550159400000000,4,2
7652,10,35,1-10-2017-035-05,5,1,LF,0,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,1,LR,0,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,1,RF,0,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,1,RR,0,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,2,LF,0,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,2,LR,0,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,2,RF,0,46.58601633291680000000,4,2
7652,10,35,1-10-2017-035-05,5,2,RR,0,46.58601633291680000000,4,2
7703,10,36,1-10-2017-036-08,8,1,LF,0,120.86531935691100000000,4,2
7703,10,36,1-10-2017-036-08,8,1,LR,0,120.86531935691100000000,4,2
7703,10,36,1-10-2017-036-08,8,1,RF,0,120.86531935691100000000,4,2
7703,10,36,1-10-2017-036-08,8,1,RR,0,120.86531935691100000000,4,2
7759,10,37,1-10-2017-037-05,5,1,LF,0,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,1,LR,0,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,1,RF,0,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,1,RR,5,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,1,RR,4,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,2,LF,5,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,2,LF,1,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,2,LR,0,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,2,RF,0,41.58524342044350000000,4,2
7759,10,37,1-10-2017-037-05,5,2,RR,0,41.58524342044350000000,4,2
7826,10,38,1-10-2017-038-07,7,1,LF,0,319.93066647553500000000,4,2
7826,10,38,1-10-2017-038-07,7,1,LR,0,319.93066647553500000000,4,2
7826,10,38,1-10-2017-038-07,7,1,RF,0,319.93066647553500000000,4,2
7826,10,38,1-10-2017-038-07,7,1,RR,0,319.93066647553500000000,4,2
7888,10,39,1-10-2017-039-02,2,1,LF,7,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,1,LR,0,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,1,RF,0,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,1,RR,7,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,LF,7,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,LF,5,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,LF,3,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,LR,7,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,RF,0,46.34288220449190000000,4,2
7888,10,39,1-10-2017-039-02,2,2,RR,0,46.34288220449190000000,4,2
7931,10,40,1-10-2017-040-06,6,1,LF,0,1655.85275190167000000000,4,2
7931,10,40,1-10-2017-040-06,6,1,LR,0,1655.85275190167000000000,4,2
7931,10,40,1-10-2017-040-06,6,1,RF,0,1655.85275190167000000000,4,2
7931,10,40,1-10-2017-040-06,6,1,RR,0,1655.85275190167000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,LF,9,2538.15212103402000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,LR,9,2538.15212103402000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,RF,9,2538.15212103402000000000,4,2
7979,10,41,1-10-2017-041-09,9,1,RR,9,2538.15212103402000000000,4,2
8068,10,42,1-10-2017-042-04,4,1,LF,0,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,1,LR,0,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,1,RF,0,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,1,RR,0,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,LF,0,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,LR,0,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,RF,0,340.54286884701600000000,4,2
8068,10,42,1-10-2017-042-04,4,2,RR,0,340.54286884701600000000,4,2
8181,10,44,1-10-2017-044-09,9,2,LF,7,280.29553550113300000000,4,2
8181,10,44,1-10-2017-044-09,9,2,LR,0,280.29553550113300000000,4,2
8181,10,44,1-10-2017-044-09,9,2,RF,0,280.29553550113300000000,4,2
8181,10,44,1-10-2017-044-09,9,2,RR,0,280.29553550113300000000,4,2
8204,10,45,1-10-2017-045-03,3,1,LF,0,152.96440682076200000000,4,2
8204,10,45,1-10-2017-045-03,3,1,LR,0,152.96440682076200000000,4,2
8204,10,45,1-10-2017-045-03,3,1,RF,0,152.96440682076200000000,4,2
8204,10,45,1-10-2017-045-03,3,1,RR,0,152.96440682076200000000,4,2
8412,10,49,1-10-2017-049-03,3,1,LF,0,157.20339285080300000000,4,2
8412,10,49,1-10-2017-049-03,3,1,LR,0,157.20339285080300000000,4,2
8412,10,49,1-10-2017-049-03,3,1,RF,0,157.20339285080300000000,4,2
8412,10,49,1-10-2017-049-03,3,1,RR,7,157.20339285080300000000,4,2
8476,10,50,1-10-2017-050-09,9,1,LF,0,203.90545677916600000000,4,2
8476,10,50,1-10-2017-050-09,9,1,LR,7,203.90545677916600000000,4,2
8476,10,50,1-10-2017-050-09,9,1,RF,0,203.90545677916600000000,4,2
8476,10,50,1-10-2017-050-09,9,1,RR,7,203.90545677916600000000,4,2
8478,10,51,1-10-2017-051-04,4,1,LF,0,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,1,LR,0,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,1,RF,0,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,1,RR,0,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,LF,0,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,LR,0,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,RF,0,116.73917317886100000000,4,2
8478,10,51,1-10-2017-051-04,4,2,RR,0,116.73917317886100000000,4,2
8542,10,52,1-10-2017-052-06,6,1,LF,0,186.43497383052800000000,4,2
8542,10,52,1-10-2017-052-06,6,1,LR,0,186.43497383052800000000,4,2
8542,10,52,1-10-2017-052-06,6,1,RF,0,186.43497383052800000000,4,2
8542,10,52,1-10-2017-052-06,6,1,RR,0,186.43497383052800000000,4,2
8608,10,58,1-10-2017-058-09,9,1,LF,0,104.64509913880700000000,4,2
8608,10,58,1-10-2017-058-09,9,1,LR,0,104.64509913880700000000,4,2
8608,10,58,1-10-2017-058-09,9,1,RF,0,104.64509913880700000000,4,2
8608,10,58,1-10-2017-058-09,9,1,RR,0,104.64509913880700000000,4,2
8776,10,61,1-10-2017-061-04,4,1,LF,0,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,1,LR,0,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,1,RF,0,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,1,RR,0,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,2,LF,0,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,2,LR,0,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,2,RF,0,36.09665610412430000000,4,2
8776,10,61,1-10-2017-061-04,4,2,RR,0,36.09665610412430000000,4,2
8786,10,63,1-10-2017-063-02,2,1,LF,0,22.46197362103460000000,4,2
8786,10,63,1-10-2017-063-02,2,1,LR,0,22.46197362103460000000,4,2
8786,10,63,1-10-2017-063-02,2,1,RF,7,22.46197362103460000000,4,2
8786,10,63,1-10-2017-063-02,2,1,RR,0,22.46197362103460000000,4,2
8786,10,63,1-10-2017-063-02,2,2,LF,0,22.46197362103460000000,4,2
8786,10,63,1-10-2017-063-02,2,2,LR,0,22.46197362103460000000,4,2
8786,10,63,1-10-2017-063-02,2,2,RF,0,22.46197362103460000000,4,2
8786,10,63,1-10-2017-063-02,2,2,RR,0,22.46197362103460000000,4,2
8786,10,64,1-10-2017-064-04,4,1,LF,0,237.71564662407100000000,4,2
8786,10,64,1-10-2017-064-04,4,1,LR,0,237.71564662407100000000,4,2
8786,10,64,1-10-2017-064-04,4,1,RF,0,237.71564662407100000000,4,2
8786,10,64,1-10-2017-064-04,4,1,RR,0,237.71564662407100000000,4,2
8788,10,65,1-10-2017-065-03,3,1,LF,0,69.62864153073320000000,4,2
8788,10,65,1-10-2017-065-03,3,1,LR,0,69.62864153073320000000,4,2
8788,10,65,1-10-2017-065-03,3,1,RF,0,69.62864153073320000000,4,2
8788,10,65,1-10-2017-065-03,3,1,RR,0,69.62864153073320000000,4,2
8850,10,66,1-10-2017-066-03,3,1,LF,0,49.94718532412980000000,4,2
8850,10,66,1-10-2017-066-03,3,1,LR,9,49.94718532412980000000,4,2
8850,10,66,1-10-2017-066-03,3,1,RF,0,49.94718532412980000000,4,2
8850,10,66,1-10-2017-066-03,3,1,RR,9,49.94718532412980000000,4,2
8850,10,66,1-10-2017-066-03,3,2,LF,0,49.94718532412980000000,4,2
8850,10,66,1-10-2017-066-03,3,2,LR,0,49.94718532412980000000,4,2
8850,10,66,1-10-2017-066-03,3,2,RF,0,49.94718532412980000000,4,2
8850,10,66,1-10-2017-066-03,3,2,RR,0,49.94718532412980000000,4,2
8852,10,67,1-10-2017-067-07,7,2,LF,0,187.57866167248400000000,4,2
8852,10,67,1-10-2017-067-07,7,2,LR,0,187.57866167248400000000,4,2
8852,10,67,1-10-2017-067-07,7,2,RF,0,187.57866167248400000000,4,2
8852,10,67,1-10-2017-067-07,7,2,RR,0,187.57866167248400000000,4,2
8926,10,68,1-10-2017-068-09,9,1,LF,0,403.30917801774800000000,4,2
8926,10,68,1-10-2017-068-09,9,1,LR,0,403.30917801774800000000,4,2
8926,10,68,1-10-2017-068-09,9,1,RF,0,403.30917801774800000000,4,2
8926,10,68,1-10-2017-068-09,9,1,RR,0,403.30917801774800000000,4,2
8926,10,68,1-10-2017-068-09,9,2,LF,0,403.30917801774800000000,4,2
8926,10,68,1-10-2017-068-09,9,2,LR,0,403.30917801774800000000,4,2
8926,10,68,1-10-2017-068-09,9,2,RF,0,403.30917801774800000000,4,2
8926,10,68,1-10-2017-068-09,9,2,RR,0,403.30917801774800000000,4,2
8928,10,69,1-10-2017-069-07,7,1,LF,0,253.99691240200700000000,4,2
8928,10,69,1-10-2017-069-07,7,1,LR,0,253.99691240200700000000,4,2
8928,10,69,1-10-2017-069-07,7,1,RF,0,253.99691240200700000000,4,2
8928,10,69,1-10-2017-069-07,7,1,RR,0,253.99691240200700000000,4,2
6400,11,2,1-11-2017-002-07,7,2,LF,0,4629.69511355905000000000,8,2
6400,11,2,1-11-2017-002-07,7,2,LR,0,4629.69511355905000000000,8,2
